#log M_HI (M_sun)	log D_HI (kpc)	Morpho
9.336	1.45	SP
10.161	1.83	SP
9.558	1.551	SP
9.752	1.663	IR
9.585	1.595	SP
10.006	1.8090000000000002	SP
10.064	1.72	SP
10.617	2.083	SP
9.238	1.315	SP
10.331	1.995	SP
9.665	1.504	SP
9.913	1.705	IR
8.741	1.156	ET
9.386000000000001	1.4769999999999999	ME
9.581	1.518	SP
10.157	1.736	SP
10.376	1.946	SP
9.971	1.739	SP
9.218	1.425	IR
8.92	1.266	SP
10.287	1.875	SP
9.802999999999999	1.6869999999999998	SP
8.866	1.137	SP
9.665	1.669	SP
9.58	1.57	SP
9.328	1.3880000000000001	ME
9.342	1.48	SP
10.035	1.732	SP
10.242	1.886	SP
9.125	1.393	ME
9.631	1.587	SP
9.323	1.444	SP
10.202	1.829	SP
9.411	1.42	DI
9.338	1.454	SP
9.902999999999999	1.703	SP
9.926	1.696	IR
9.234	1.401	SP
8.926	1.185	SP
9.72	1.621	SP
9.578	1.56	SP
9.423	1.4609999999999999	SP
9.767000000000001	1.6440000000000001	ME
9.679	1.42	DI
9.821	1.685	SP
8.862	1.07	SP
8.987	1.175	DI
8.791	1.167	SP
9.76	1.702	SP
10.003	1.825	SP
9.523	1.49	SP
8.98	1.186	DI
9.322000000000001	1.4269999999999998	SP
9.665	1.595	SP
8.968	1.2690000000000001	SP
9.962	1.7480000000000002	SP
9.65	1.649	SP
9.523	1.5659999999999998	IR
10.453	2.039	SP
9.788	1.7	SP
9.485	1.432	SP
9.567	1.419	DI
9.589	1.5759999999999998	SP
9.828	1.686	SP
9.87	1.808	SP
9.849	1.6880000000000002	SP
9.649	1.642	ET
8.908	1.198	SP
9.087	1.3130000000000002	DI
10.032	1.7990000000000002	SP
9.401	1.3880000000000001	SP
9.041	1.2890000000000001	SP
10.315	1.845	SP
10.339	1.8419999999999999	SP
8.422	0.929	DI
9.501	1.516	SP
9.592	1.453	SP
10.342	1.9669999999999999	SP
9.86	1.6969999999999998	SP
8.663	1.062	ET
9.713	1.64	SP
10.1	1.784	SP
9.872	1.5719999999999998	SP
9.203	1.28	SP
9.479	1.374	SP
10.054	1.786	SP
9.645	1.591	SP
10.093	1.696	DI
9.505	1.48	SP
9.726	1.5619999999999998	IR
9.929	1.659	SP
9.606	1.5659999999999998	IR
9.531	1.536	ET
10.475	1.984	SP
9.857000000000001	1.6	SP
9.725	1.6369999999999998	SP
8.517000000000001	1.033	DI
10.068999999999999	1.7930000000000001	SP
9.361	1.47	IR
10.05	1.742	SP
9.896	1.693	SP
9.751	1.652	IR
10.184	1.834	IR
9.802	1.631	SP
9.674	1.6440000000000001	SP
9.792	1.6230000000000002	SP
9.197000000000001	1.21	DI
10.166	1.827	ME
8.961	1.268	IR
10.333	1.828	ME
10.517999999999999	2.024	SP
9.511000000000001	1.5019999999999998	DI
9.945	1.7409999999999999	ME
9.092	1.2670000000000001	SP
9.927999999999999	1.706	SP
10.331	1.935	SP
9.77	1.669	SP
9.427	1.38	SP
10.312999999999999	1.94	ME
9.863	1.7009999999999998	SP
9.632	1.589	SP
10.677999999999999	2.146	SP
9.998	1.805	SP
9.039	1.325	DI
9.88	1.706	SP
9.406	1.5130000000000001	SP
10.18	1.8319999999999999	SP
9.62	1.6	SP
10.315	1.953	SP
9.974	1.766	SP
9.918	1.811	SP
9.869	1.715	SP
9.495	1.607	SP
10.156	1.886	ME
9.59	1.435	DI
9.996	1.66	SP
9.547	1.554	SP
9.693999999999999	1.601	SP
9.771	1.655	IR
9.826	1.57	SP
9.773	1.6059999999999999	SP
9.419	1.4609999999999999	SP
10.251	1.825	ME
9.331	1.3019999999999998	SP
9.7	1.653	IR
9.648	1.666	IR
9.204	1.4040000000000001	SP
8.812000000000001	1.2570000000000001	SP
8.977	1.239	SP
9.662	1.591	SP
9.735	1.6780000000000002	IR
9.148	1.421	SP
10.189	1.764	SP
9.315	1.433	SP
9.121	1.38	SP
9.177	1.335	IR
8.621	1.0979999999999999	SP
9.096	1.301	SP
8.764	1.145	IR
9.632	1.604	IR
9.517000000000001	1.516	SP
9.377	1.371	SP
8.565	1.068	SP
8.793	1.203	IR
8.839	1.163	ME
9.63	1.659	SP
9.863999999999999	1.645	SP
9.719	1.526	SP
7.716	0.621	SP
9.339	1.5959999999999999	SP
9.642999999999999	1.6380000000000001	SP
8.875	1.1740000000000002	SP
9.958	1.726	SP
9.25	1.268	SP
10.165	1.875	SP
9.36	1.419	SP
9.535	1.537	SP
9.872	1.7890000000000001	SP
9.993	1.84	SP
9.863	1.795	SP
9.347999999999999	1.48	ME
9.436	1.462	SP
9.499	1.4	SP
8.763	1.056	IR
9.783	1.72	SP
9.885	1.7690000000000001	SP
7.712000000000001	0.62	IR
8.783999999999999	1.22	SP
9.471	1.472	SP
9.204	1.364	IR
9.898	1.7819999999999998	SP
9.732000000000001	1.681	SP
8.89	1.249	IR
10.003	1.7590000000000001	SP
9.556000000000001	1.577	SP
7.351	0.33899999999999997	IR
9.093	1.2830000000000001	DI
9.891	1.7630000000000001	SP
10.046	1.6669999999999998	DI
9.888	1.785	SP
9.453	1.5430000000000001	SP
9.435	1.53	SP
8.434	0.978	DI
9.048	1.2930000000000001	SP
