# CIG: AMIGA/CIG galaxy identifier,logd25: logarithm of the optical D25 diameter,E_logd25: uncertainty on logd25,PHYS_DISTANCE_decimal: uncertainty/decimal companion field from RESULTS_OPT
CIG,logd25,E_logd25,PHYS_DISTANCE_decimal
1,1.144,0.039,96.926
2,0.858,0.042,94.745
3,0.604,0.078,
4,1.517,0.019,31.880
5,0.861,0.055,105.907
6,0.843,0.043,61.623
7,0.840,0.056,169.896
8,0.876,0.074,85.041
9,0.959,0.047,113.035
10,1.023,0.040,63.645
11,1.195,0.033,52.468
12,0.925,0.055,73.582
13,1.144,0.065,70.215
14,0.970,0.051,71.914
15,0.843,0.057,156.897
16,0.781,0.063,72.852
17,0.987,0.050,160.848
18,0.851,0.048,97.570
19,1.040,0.101,72.434
20,0.982,0.082,70.384
21,0.797,0.064,107.020
22,1.383,0.045,174.066
23,0.979,0.076,75.677
24,0.623,0.211,93.769
25,1.141,0.048,70.618
26,0.906,0.057,
27,0.923,0.047,62.404
28,1.013,0.044,77.604
29,0.992,0.038,57.116
30,0.956,0.047,61.397
31,0.830,0.061,76.994
32,0.886,0.058,71.811
33,1.115,0.034,55.197
34,0.842,0.069,67.239
35,0.698,0.071,
36,0.932,0.046,80.147
37,0.937,0.047,91.770
38,0.980,0.040,82.311
39,1.275,0.070,36.559
40,0.950,0.052,159.158
41,1.113,0.039,83.762
42,1.013,0.041,73.521
43,0.623,0.211,66.588
44,0.769,0.072,80.425
45,1.007,0.047,4.800
46,0.727,0.069,
47,0.860,0.148,119.521
48,0.739,0.074,
49,1.159,0.041,69.380
50,1.067,0.045,28.192
51,0.861,0.058,70.154
52,0.766,0.063,167.000
53,1.161,0.038,42.461
54,0.815,0.054,55.837
55,1.038,0.117,189.608
56,1.115,0.045,68.087
57,0.655,0.073,223.201
58,1.009,0.048,146.543
59,1.105,0.043,57.174
60,0.797,0.063,67.473
61,1.105,0.044,53.231
62,0.907,0.045,77.117
63,0.943,0.044,21.013
64,1.028,0.041,42.600
65,0.801,0.061,150.514
66,1.045,0.041,64.983
67,0.830,0.057,130.996
68,1.439,0.066,22.627
69,0.913,0.047,103.328
70,0.910,0.055,
71,1.144,0.030,78.581
72,1.086,0.039,68.526
73,0.729,0.067,184.664
74,0.725,0.162,136.964
75,0.755,0.065,46.263
76,0.930,0.045,107.763
77,0.901,0.045,107.546
78,1.136,0.034,83.253
79,0.787,0.076,68.996
80,1.660,0.026,33.262
81,1.166,0.056,46.501
82,0.871,0.053,173.693
83,0.960,0.081,69.225
84,1.132,0.039,61.934
85,1.305,0.096,35.877
86,1.140,0.041,71.610
87,0.994,0.074,75.086
88,1.040,0.035,67.154
89,1.390,0.032,23.293
90,0.903,0.052,65.907
91,1.040,0.042,65.849
92,0.799,0.064,66.530
93,0.765,0.066,179.032
94,1.078,0.039,64.814
95,1.188,0.042,59.541
96,1.571,0.027,20.347
97,0.937,0.048,126.682
98,0.750,0.111,64.700
99,0.709,0.188,126.659
100,0.888,0.052,88.746
101,0.558,0.238,79.409
102,0.720,0.071,66.587
103,1.490,0.026,20.486
104,1.052,0.042,140.781
105,2.030,0.017,9.200
106,0.767,0.073,125.378
107,1.013,0.041,43.662
108,0.924,0.049,68.701
109,1.492,0.029,10.300
110,1.177,0.100,84.603
111,0.776,0.061,72.327
112,1.715,0.020,10.700
113,1.026,0.072,84.952
114,0.995,0.122,109.673
115,1.062,0.052,68.025
116,1.042,0.044,53.400
117,1.051,0.159,84.605
118,0.799,0.195,107.083
119,1.076,0.059,78.996
120,1.108,0.050,90.130
121,1.472,0.030,7.800
122,0.860,0.058,92.585
123,1.264,0.031,78.023
124,0.727,0.191,92.745
125,0.779,0.168,94.402
126,0.817,0.060,154.975
127,0.847,0.120,101.624
128,0.959,0.078,87.186
129,0.991,0.062,123.090
130,1.119,0.039,84.623
131,0.860,0.054,107.660
132,0.876,0.058,96.968
133,0.936,0.049,91.576
134,1.012,0.042,68.357
135,1.017,0.041,69.318
136,0.613,0.214,95.236
137,0.666,0.129,85.336
138,1.366,0.026,49.849
139,1.577,0.031,10.600
140,0.996,0.045,211.356
141,0.914,0.050,25.915
142,0.668,0.191,106.902
143,0.892,0.049,69.982
144,1.218,0.037,51.488
145,1.085,0.039,48.712
146,1.005,0.042,50.820
147,1.260,0.036,35.854
148,0.812,0.165,97.084
149,0.820,0.161,65.644
150,0.997,0.045,121.430
151,1.239,0.042,63.239
152,1.133,0.033,32.263
153,1.052,0.044,62.956
154,1.011,0.040,59.676
155,1.144,0.068,23.581
156,0.970,0.050,36.484
157,0.799,0.059,110.317
158,0.821,0.058,142.424
159,1.525,0.023,57.102
160,0.826,0.161,56.074
161,0.703,0.187,104.448
162,1.283,0.050,17.066
163,0.909,0.123,17.215
164,0.398,0.274,122.387
165,1.140,0.043,55.633
166,1.423,0.040,70.505
