catID,distance_mpc,log_smass,esmass,log_himass,match_count,match_index,separation_arcsec,pgc,hyperleda_objname,hyperleda_anames,hyperleda_otype,hyperleda_mtype,hyperleda_logd25,hyperleda_logr25,hyperleda_ra_deg,hyperleda_dec_deg,query_radius_arcsec,match_status,resolved_via,resolved_ra_deg,resolved_dec_deg,hyperleda_d25_arcmin,hyperleda_d25_kpc
AGC000161,77.01,8.653,0.493,9.55,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC006636,50.91,10.431,0.098,9.09,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC007130,57.92,10.557,0.095,10.09,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC101689,94.31,8.035,0.748,9.11,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC102722,49.3,8.891,0.22,9.45,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC102820,69.6,7.889,0.42,9.14,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC102918,69.69,8.625,0.323,9.06,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC103335,100.62,8.642,0.266,9.62,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC103761,49.6,8.514,0.369,9.35,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC112351,88.41,7.869,0.805,9.47,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC113200,102.31,8.809,0.9,9.29,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC113889,87.88,9.34,0.292,9.55,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC113893,82.79,8.809,0.34,9.38,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC113894,83.19,8.928,0.217,9.39,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC113904,90.1,8.968,0.374,9.37,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC113953,141.81,9.427,0.312,9.76,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC114065,107.12,9.702,0.184,9.58,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC114499,143.62,8.953,0.611,9.8,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC114906,40.18,7.951,0.417,9.16,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC123011,70.62,8.558,0.657,9.06,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC123906,100.0,9.086,0.437,9.46,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC124317,84.78,8.128,0.344,9.43,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC131381,85.89,8.608,0.195,9.01,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC131382,86.29,8.937,0.271,9.15,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC172031,68.59,9.03,0.338,9.02,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC172087,95.42,9.343,0.329,9.33,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC174814,91.91,9.465,0.193,9.46,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC174821,181.01,9.655,0.213,9.82,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC183090,173.48,9.683,0.271,9.66,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC192001,87.22,8.866,0.849,9.35,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC192654,97.19,9.46,0.256,9.61,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC193897,119.09,9.28,0.316,9.44,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC193898,116.72,9.37,0.221,9.47,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC194187,88.32,9.336,0.174,9.65,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC194829,96.8,8.958,0.339,9.27,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC194832,97.59,9.166,0.361,9.37,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC203956,122.89,9.494,0.304,9.53,0,,,,,,,,,,,,60.0,unmatched,none,,,,
AGC212245,93.82,8.961,0.393,9.45,0,,,,,,,,,,,,60.0,unmatched,none,,,,
