# hcg_index diameter diameter_err mass mass_err phase optical_diameter optical_diameter_err logm_star linear_res coldens_lim
HCG2a 5.0229e+01 1.1029e+00 8.2343e+09 3.8179e+05 1 2.1512e+01 1.5584e+00 9.8600e+00 2.0924e+01 6.2204e+19
HCG2b 2.2193e+01 3.3738e-01 7.7818e+08 1.4351e+05 1 1.2962e+01 1.7893e+00 9.7200e+00 2.0924e+01 5.1289e+19
HCG2c 2.9969e+01 6.4663e-01 2.1370e+09 1.4168e+05 1 1.4585e+01 1.5628e+00 9.7200e+00 2.0506e+01 3.3170e+19
HCG7a 2.8537e+01 8.5747e-01 1.2236e+09 6.8717e+04 1 2.9695e+01 1.5584e+00 1.0940e+01 1.0865e+01 2.2407e+19
HCG7c 4.0792e+01 3.0719e-01 3.7656e+09 9.5592e+04 1 2.5687e+01 1.6208e+00 1.0400e+01 1.1299e+01 2.4066e+19
HCG7d 1.8228e+01 8.8971e-01 7.7031e+08 3.4975e+04 1 1.3302e+01 1.5992e+00 1.0020e+01 1.0648e+01 2.0397e+19
HCG10a 7.9497e+01 4.8672e-01 7.7033e+09 4.2816e+05 1 4.8073e+01 1.7454e+00 0.0000e+00 2.1484e+01 4.5252e+19
HCG10d 1.5973e+01 1.9476e-01 6.2608e+08 3.9957e+04 1 1.4585e+01 1.8362e+00 0.0000e+00 1.8799e+01 1.0362e+19
HCG15f 2.1857e+01 nan 9.1079e+08 1.4489e+05 3c 1.6519e+01 2.8054e+00 9.3700e+00 3.1379e+01 1.7225e+19
NGC848 3.6921e+01 4.2674e-01 4.2762e+09 1.0635e+05 2 1.9227e+01 1.5628e+00 0.0000e+00 1.1927e+01 3.8541e+19
HCG16a 2.5125e+01 4.7975e-01 9.7233e+08 4.0368e+04 2 1.2921e+01 1.9111e+00 1.0920e+01 1.2414e+01 1.7439e+19
HCG16b 1.3056e+01 5.7847e-01 4.4556e+08 5.4189e+04 2 2.3116e+01 1.5628e+00 1.0970e+01 1.1927e+01 3.4861e+19
HCG16c 2.8723e+01 2.5344e-01 2.6740e+09 1.1070e+05 2 1.8835e+01 1.5309e+00 1.0250e+01 1.1683e+01 4.5661e+19
HCG16d 4.4702e+01 3.9943e-01 4.0314e+09 2.5703e+05 2 2.0652e+01 1.4961e+00 1.0350e+01 1.1683e+01 8.6221e+19
HCG19b 1.1638e+01 1.8609e-01 4.3379e+08 2.4856e+04 1 1.3481e+01 1.7367e+00 0.0000e+00 1.2376e+01 1.5902e+19
HCG19c 2.4831e+01 5.0086e-01 1.4407e+09 1.8854e+04 1 1.8967e+01 1.6519e+00 0.0000e+00 1.2614e+01 1.1858e+19
HCG22c 3.5110e+01 1.7797e-01 2.4140e+09 7.8389e+04 3c 1.4792e+01 1.1749e+00 9.5000e+00 1.0962e+01 3.6567e+19
HCG23-26 2.7397e+01 4.5032e-01 2.1452e+09 9.0963e+04 1 nan nan 0.0000e+00 1.1115e+01 5.8048e+19
HCG23a 3.9033e+01 5.9568e-01 1.8278e+09 1.0223e+05 1 2.9044e+01 1.9636e+00 0.0000e+00 9.8624e+00 6.6549e+19
HCG23b 4.3728e+01 6.1460e-01 5.5521e+09 2.3455e+05 1 3.1378e+01 2.0731e+00 0.0000e+00 1.0175e+01 8.9708e+19
HCG23d 2.7349e+01 4.3408e-01 1.6634e+09 9.1498e+04 1 1.1603e+01 2.3690e+00 0.0000e+00 9.2362e+00 6.0287e+19
