galaxy,group,phase,hyperleda_resolved,logd25,e_logd25,D25_arcmin,single_object,ledacat_url
HCG30a,HCG30,3a,PGC015620,1.16,0.04,1.445,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG30a
HCG30b,HCG30,3a,PGC015631,1.08,0.05,1.202,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG30b
HCG30c,HCG30,3a,PGC015624,0.79,0.05,0.617,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG30c
HCG30d,HCG30,3a,PGC015636,0.75,0.06,0.562,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG30d
HCG37a,HCG37,3a,NGC2783,1.3,0.03,1.995,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG37a
HCG37b,HCG37,3a,NGC2783B,1.16,0.03,1.445,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG37b
HCG37c,HCG37,3a,PGC026004,0.64,0.16,0.437,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG37c
HCG37d,HCG37,3a,PGC026005,0.58,0.17,0.38,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG37d
HCG37e,HCG37,3a,PGC026006,0.56,0.08,0.363,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG37e
HCG62a,HCG62,3a,NGC4761,1.43,0.03,2.692,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG62a
HCG62b,HCG62,3a,NGC4759,1.29,0.04,1.95,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG62b
HCG62c,HCG62,3a,NGC4764,1.19,0.04,1.549,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG62c
HCG62d,HCG62,3a,PGC043760,0.66,0.07,0.457,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG62d
HCG92b,HCG92,3a,NGC7318B,1.38,0.08,2.399,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG92b
HCG92c,HCG92,3a,NGC7319,1.22,0.04,1.66,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG92c
HCG92d,HCG92,3a,NGC7318A,1.17,0.11,1.479,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG92d
HCG92e,HCG92,3a,NGC7317,0.9,0.14,0.794,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG92e
HCG97a,HCG97,3c,IC5357,1.2,0.04,1.585,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG97a
HCG97b,HCG97,3c,IC5359,1.09,0.04,1.23,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG97b
HCG97c,HCG97,3c,IC5356,0.99,0.04,0.977,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG97c
HCG97d,HCG97,3c,IC5351,1.23,0.04,1.698,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG97d
HCG97e,HCG97,3c,PGC072405,0.65,0.11,0.447,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG97e
HCG7b,HCG7,1,NGC0196,1.1,0.04,1.259,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG7b
HCG10b,HCG10,1,NGC0529,1.35,0.05,2.239,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG10b
HCG10c,HCG10,1,NGC0531,1.25,0.06,1.778,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG10c
HCG19a,HCG19,1,PGC010262,1.08,0.04,1.202,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG19a
HCG23c,HCG23,1,NGC1216,0.95,0.06,0.891,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG23c
HCG25d,HCG25,1,PGC012524,0.61,0.07,0.407,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG25d
HCG25f,HCG25,1,PGC012538,0.63,0.08,0.427,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG25f
HCG26b,HCG26,1,PGC012614,0.89,0.16,0.776,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG26b
HCG26c,HCG26,1,PGC012604,0.59,0.13,0.389,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG26c
HCG26d,HCG26,1,PGC012613,0.82,0.05,0.661,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG26d
HCG26f,HCG26,1,PGC012615,0.34,0.36,0.219,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG26f
HCG26g,HCG26,1,PGC012610,0.37,0.34,0.234,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG26g
HCG40a,HCG40,2,PGC027509,1.12,0.09,1.318,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG40a
HCG40b,HCG40,2,PGC027513,0.95,0.05,0.891,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG40b
HCG40e,HCG40,2,PGC027515,0.83,0.12,0.676,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG40e
HCG71b,HCG71,2,IC4382,0.8,0.13,0.631,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG71b
HCG79a,HCG79,2,NGC6027A,1.25,0.09,1.778,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG79a
HCG79b,HCG79,2,NGC6027E,1.36,0.07,2.291,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG79b
HCG79c,HCG79,2,NGC6027,1.21,0.08,1.622,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG79c
HCG91d,HCG91,2,PGC068155,0.71,0.17,0.513,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG91d
HCG96b,HCG96,2,PGC071518,0.88,0.13,0.759,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG96b
HCG96c,HCG96,2,PGC071505,0.54,0.24,0.347,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG96c
HCG96d,HCG96,2,PGC071507,0.37,0.34,0.234,True,http://atlas.obs-hp.fr/hyperleda/ledacat.cgi?o=HCG96d
