galaxy,group,phase,hi_diameter_kpc,hi_diameter_err_kpc,hi_mass,hi_mass_err,optical_diameter_kpc,optical_diameter_err_kpc,log_stellar_mass,distance_mpc,linear_resolution_kpc,coldens_limit,fractional_mass_error
HCG2a,HCG2,1,50.22948628101867,1.1028760001203872,8234320306.936306,381785.61105722404,21.512152397518406,1.5584176775375749,9.86,50,20.924051094375375,6.220378160873446e+19,0.004636516395113038
HCG2b,HCG2,1,22.192698736376443,0.3373809703976581,778178271.5776944,143506.79649495566,12.962353644217194,1.789302900269528,9.72,50,20.924051094375375,5.128943296953567e+19,0.01844137798964845
HCG2c,HCG2,1,29.968918933813214,0.6466269252546544,2136979422.9343603,141680.7415322835,14.585117814136662,1.5628235307012355,9.72,49,20.505570072487867,3.3170013101525934e+19,0.006629953476001971
HCG7a,HCG7,1,28.53742007869829,0.8574743413634265,1223577023.6859014,68717.15806187376,29.695036667273637,1.5584176775375749,10.94,50,10.864821548490704,2.2407194784520004e+19,0.005616087645620405
HCG7c,HCG7,1,40.792394091848315,0.30719209385202323,3765646585.808014,95591.5612987565,25.68722590865976,1.620754384639078,10.4,52,11.299414410430332,2.4065504842782888e+19,0.0025385165368152817
HCG7d,HCG7,1,18.22757362197123,0.8897083948003812,770306475.6431959,34975.25352494568,13.30178553977561,1.5992263671380404,10.02,49,10.64752511752089,2.039689110157183e+19,0.004540433532736667
HCG10a,HCG10,1,79.49678999980048,0.4867249142372886,7703345015.245025,428161.9010600482,48.07307343175222,1.7454277988420839,0.0,56,21.484497476331356,4.525230875209409e+19,0.0055581296204792845
HCG10d,HCG10,1,15.973111580907029,0.19475777706803968,626075984.6102214,39957.19883046412,14.585117814136662,1.8361575450228442,0.0,49,18.798935291789935,1.0362119369959236e+19,0.006382164435733856
HCG15f,HCG15,3c,21.857192784244667,,910786473.5945903,144892.6706363045,16.51935733408965,2.8053893735365114,9.37,84,31.378620113364274,1.7224881892762307e+19,0.015908522451421384
NGC848,HCG16,2,36.92110794494384,0.42674399747676856,4276167799.7528734,106347.14225224813,19.226929841124743,1.5628235307012355,0.0,49,11.926703737138514,3.8540567285513224e+19,0.0024869730850691617
HCG16a,HCG16,2,25.12521109980174,0.4797479196896819,972332405.0112963,40367.69794783917,12.920640341367662,1.9111027509421439,10.92,51,12.413507971307432,1.7439215107343692e+19,0.00415163556616939
HCG16b,HCG16,2,13.056118014546954,0.5784676555847449,445557501.5896468,54188.706072019566,23.115853934868507,1.5628235307012355,10.97,49,11.926703737138514,3.4861371416235622e+19,0.012162000612420778
HCG16c,HCG16,2,28.722773397077674,0.2534369219831131,2674042343.2592235,110699.02847242325,18.834543517836487,1.5309291729318224,10.25,48,11.683301620054054,4.566084435813938e+19,0.004139763483980553
HCG16d,HCG16,2,44.701519799419145,0.3994264160094759,4031402905.972112,257026.1419730581,20.651666301617666,1.4960809704360718,10.35,48,11.683301620054054,8.622050846870967e+19,0.006375600453933793
HCG19b,HCG19,1,11.63843299821605,0.18608875074285747,433791500.9860875,24855.65402612046,13.48084778998588,1.7366696121892689,0.0,52,12.375833702553281,1.5902289024094476e+19,0.005729861919751541
HCG19c,HCG19,1,24.83148045065516,0.5008595777428734,1440740836.116027,18854.321985759187,18.966610742856997,1.6519227381898292,0.0,53,12.61383050452546,1.185827688127469e+19,0.0013086546527401124
HCG22c,HCG22,3c,35.109797839657446,0.17796548462454587,2414003090.197244,78388.86381291375,14.791641155275203,1.1749418207544786,9.5,36,10.961826667306047,3.6567252300659188e+19,0.003247256150219291
HCG23-26,HCG23,1,27.39725728633782,0.4503230268637159,2145247729.2315955,90963.004677078,,,0.0,71,11.114745906836259,5.804845164056767e+19,0.004240209810624527
HCG23a,HCG23,1,39.03348873533063,0.5956765461819834,1827847912.8628263,102229.2961031963,29.043865104854586,1.9636062736973443,0.0,63,9.862380170854706,6.65493114241835e+19,0.005592877579354069
HCG23b,HCG23,1,43.72766037715202,0.6145954134355106,5552090612.010475,234553.65452543393,31.378141576303445,2.073133255011843,0.0,65,10.175471604850095,8.970792808002285e+19,0.004224600621935804
