galaxy,group,phase,hi_diameter_kpc,hi_diameter_err_kpc,hi_mass,hi_mass_err,optical_diameter_kpc,optical_diameter_err_kpc,log_stellar_mass,distance_mpc,linear_resolution_kpc,coldens_limit,fractional_mass_error,is_upper_limit
HCG2a,HCG2,1,50.22948628101867,1.1028760001203872,8234320306.936306,381785.611057224,21.51215239751841,1.5584176775375749,9.86,50,20.924051094375372,6.220378160873446e+19,0.004636516395113,0
HCG2b,HCG2,1,22.192698736376443,0.3373809703976581,778178271.5776944,143506.79649495566,12.962353644217194,1.789302900269528,9.72,50,20.924051094375372,5.128943296953567e+19,0.0184413779896484,0
HCG2c,HCG2,1,29.96891893381321,0.6466269252546544,2136979422.9343605,141680.7415322835,14.585117814136662,1.5628235307012357,9.72,49,20.505570072487867,3.317001310152593e+19,0.0066299534760019,0
HCG7a,HCG7,1,28.53742007869829,0.8574743413634265,1223577023.6859014,68717.15806187376,29.69503666727364,1.5584176775375749,10.94,50,10.864821548490704,2.2407194784520004e+19,0.0056160876456204,0
HCG7c,HCG7,1,40.79239409184832,0.3071920938520232,3765646585.808014,95591.5612987565,25.68722590865976,1.620754384639078,10.4,52,11.299414410430332,2.4065504842782888e+19,0.0025385165368152,0
HCG7d,HCG7,1,18.22757362197123,0.8897083948003812,770306475.6431959,34975.25352494568,13.30178553977561,1.5992263671380404,10.02,49,10.64752511752089,2.039689110157183e+19,0.0045404335327366,0
HCG10a,HCG10,1,79.49678999980048,0.4867249142372886,7703345015.245025,428161.9010600482,48.07307343175222,1.745427798842084,0.0,56,21.48449747633136,4.525230875209409e+19,0.0055581296204792,0
HCG10d,HCG10,1,15.973111580907029,0.1947577770680396,626075984.6102214,39957.19883046412,14.585117814136662,1.836157545022844,0.0,49,18.79893529178993,1.0362119369959236e+19,0.0063821644357338,0
HCG15f,HCG15,3c,24.72249575838367,,910786473.5945904,144892.6706363045,16.51935733408965,2.8053893735365114,9.37,84,31.378620113364278,1.7224881892762309e+19,0.0159085224514213,1
NGC848,HCG16,2,36.92110794494384,0.4267439974767685,4276167799.7528734,106347.14225224812,19.226929841124743,1.5628235307012357,0.0,49,11.926703737138514,3.854056728551322e+19,0.0024869730850691,0
HCG16a,HCG16,2,25.12521109980174,0.4797479196896819,972332405.0112964,40367.69794783917,12.920640341367662,1.911102750942144,10.92,51,12.413507971307432,1.7439215107343692e+19,0.0041516355661693,0
HCG16b,HCG16,2,13.056118014546954,0.5784676555847449,445557501.5896468,54188.706072019566,23.115853934868507,1.5628235307012357,10.97,49,11.926703737138514,3.4861371416235622e+19,0.0121620006124207,0
HCG16c,HCG16,2,28.722773397077678,0.2534369219831131,2674042343.2592235,110699.02847242323,18.834543517836487,1.5309291729318224,10.25,48,11.683301620054054,4.566084435813938e+19,0.0041397634839805,0
