galaxy,group,phase,status
HCG10a,HCG10,1,fitted
HCG10d,HCG10,1,fitted
HCG15f,HCG15,3c,fitted
HCG16a,HCG16,2,fitted
HCG16b,HCG16,2,fitted
HCG16c,HCG16,2,fitted
HCG16d,HCG16,2,fitted
NGC848,HCG16,2,fitted
HCG19b,HCG19,1,fitted
HCG19c,HCG19,1,fitted
HCG2a,HCG2,1,fitted
HCG2b,HCG2,1,fitted
HCG2c,HCG2,1,fitted
HCG22c,HCG22,3c,fitted
HCG23-26,HCG23,1,fitted
HCG23a,HCG23,1,fitted
HCG23b,HCG23,1,fitted
HCG23d,HCG23,1,fitted
HCG25a,HCG25,1,fitted
HCG25b,HCG25,1,fitted
HCG26a,HCG26,1,fitted
HCG26e,HCG26,1,fitted
HCG31a,HCG31,2,fitted
HCG31b,HCG31,2,fitted
HCG31c,HCG31,2,fitted
HCG31g,HCG31,2,fitted
HCG31q,HCG31,2,fitted
HCG33c,HCG33,3c,fitted
HCG40c,HCG40,2,fitted
HCG40d,HCG40,2,fitted
HCG56a,HCG56,3c,fitted
HCG58a,HCG58,2,fitted
HCG58e,HCG58,2,fitted
HCG59b,HCG59,1,fitted
HCG59c,HCG59,1,fitted
HCG59d,HCG59,1,fitted
HCG61c,HCG61,3a,fitted
HCG68c,HCG68,3c,fitted
HCG7a,HCG7,1,fitted
HCG7c,HCG7,1,fitted
HCG7d,HCG7,1,fitted
AGC242021,HCG71,2,fitted
AGC732898,HCG71,2,fitted
HCG71a,HCG71,2,fitted
HCG71c,HCG71,2,fitted
HCG79d,HCG79,2,fitted
HCG88a,HCG88,1,fitted
HCG88b,HCG88,1,fitted
HCG88c,HCG88,1,fitted
HCG88d,HCG88,1,fitted
HCG90a,HCG90,3c,fitted
HCG91a,HCG91,2,fitted
HCG91b,HCG91,2,fitted
HCG91c,HCG91,2,fitted
HCG93b,HCG93,3c,fitted
HCG96a,HCG96,2,fitted
