cig,PHOT_EXTINCTION_INT,PHOT_EXTINCTION_INT_decimal,PHOT_K_CORRECTION,PHOT_K_CORRECTION_decimal,BTC,BTC_decimal,PHYS_DISTANCE,PHYS_DISTANCE_decimal,PHYS_LUMINOSITY_B,PHYS_LUMINOSITY_B_decimal,POS_INCLIN_LOS,POS_INCLIN_LOS_decimal,ANG_SIZE_MAJ,ANG_SIZE_MAJ_decimal,ANG_SIZE_MIN,ANG_SIZE_MIN_decimal,PHYS_SIZE_MAJ,PHYS_SIZE_MAJ_decimal,PHYS_SIZE_MIN,PHYS_SIZE_MIN_decimal
1,571,0.5706,40,0.0401,13.383,13.3833,96.9,96.926,10.57,10.5696,65.1,65.094,1.39,1.393,0.64,640,39.3,39.280,18.0,18.037
2,278,0.2783,31,0.0314,15.157,15.1572,94.7,94.745,9.84,9.8402,46.8,46.816,0.72,721,0.50,502,19.9,19.874,13.8,13.845
3,354,0.3540,NULL,NULL,15.457,15.4570,NULL,NULL,NULL,NULL,55.1,55.052,0.40,402,0.24,242,NULL,NULL,NULL,NULL
4,863,0.8634,17,0.0173,11.685,11.6853,31.9,31.880,10.28,10.2829,90.0,90.000,3.29,3.289,0.73,729,30.5,30.496,6.8,6.765
5,131,0.1307,118,0.1180,15.128,15.1283,105.9,105.907,9.95,9.9485,75.5,75.468,0.73,726,0.32,318,22.4,22.369,9.8,9.810
6,638,0.6382,16,0.0158,14.329,14.3289,61.6,61.623,9.80,9.7979,65.3,65.321,0.70,697,0.31,308,12.5,12.487,5.5,5.514
7,338,0.3384,83,0.0829,15.141,15.1407,169.9,169.896,10.35,10.3541,54.0,53.958,0.69,692,0.43,427,34.2,34.191,21.1,21.082
8,726,0.7258,35,0.0349,14.374,14.3743,85.0,85.041,10.06,10.0595,71.7,71.679,0.75,752,0.28,277,18.6,18.593,6.8,6.845
9,637,0.6373,47,0.0466,14.742,14.7421,113.0,113.035,10.16,10.1596,68.1,68.066,0.91,910,0.38,380,29.9,29.918,12.5,12.501
10,546,0.5460,25,0.0254,14.440,14.4396,63.6,63.645,9.78,9.7817,63.9,63.935,1.05,1.054,0.50,501,19.5,19.520,9.3,9.279
11,652,0.6517,18,0.0178,13.652,13.6524,52.5,52.468,9.93,9.9288,67.0,66.952,1.57,1.567,0.67,665,23.9,23.912,10.2,10.154
12,667,0.6672,41,0.0411,14.743,14.7427,73.6,73.582,9.79,9.7865,77.9,77.863,0.84,841,0.28,276,18.0,18.009,5.9,5.909
13,0,0.0000,79,0.0786,13.404,13.4044,70.2,70.215,10.28,10.2811,90.0,90.000,1.39,1.393,0.70,695,28.5,28.455,14.2,14.196
14,0,0.0000,81,0.0805,13.994,13.9945,71.9,71.914,10.07,10.0658,56.8,56.769,0.93,933,0.66,661,19.5,19.523,13.8,13.821
15,598,0.5982,76,0.0758,14.931,14.9310,156.9,156.897,10.37,10.3688,69.0,68.997,0.70,697,0.29,290,31.8,31.794,13.3,13.254
16,0,0.0000,82,0.0823,15.551,15.5507,72.9,72.852,9.45,9.4546,83.3,83.284,0.60,604,0.29,293,12.8,12.799,6.2,6.211
17,223,0.2233,66,0.0665,15.292,15.2923,160.8,160.848,10.25,10.2459,43.3,43.257,0.97,971,0.72,719,45.4,45.409,33.7,33.662
18,401,0.4010,32,0.0324,14.932,14.9316,97.6,97.570,9.96,9.9560,54.9,54.927,0.71,710,0.42,421,20.1,20.139,11.9,11.941
19,0,0.0000,81,0.0809,14.914,14.9142,72.4,72.434,9.70,9.7042,90.0,90.000,1.10,1.096,0.15,147,23.1,23.103,3.1,3.095
20,0,0.0000,77,0.0766,14.545,14.5454,70.4,70.384,9.83,9.8268,27.9,27.949,0.96,959,0.90,902,19.6,19.643,18.5,18.459
21,354,0.3540,52,0.0518,15.284,15.2842,107.0,107.020,9.90,9.8953,55.1,55.052,0.63,627,0.38,378,19.5,19.507,11.8,11.754
22,713,0.7128,98,0.0978,13.691,13.6914,174.1,174.066,10.95,10.9549,85.0,85.045,2.42,2.415,0.68,676,122.3,122.304,34.2,34.233
23,854,0.8538,36,0.0364,14.204,14.2038,75.7,75.677,10.03,10.0264,80.7,80.738,0.95,953,0.26,264,21.0,20.974,5.8,5.803
24,96,0.0959,106,0.1055,15.322,15.3215,93.8,93.769,9.77,9.7655,62.2,62.236,0.42,420,0.24,239,11.4,11.449,6.5,6.528
25,0,0.0000,79,0.0791,13.419,13.4189,70.6,70.618,10.28,10.2803,0.0,0,1.38,1.384,1.38,1.384,28.4,28.421,28.4,28.421
26,164,0.1640,NULL,NULL,15.332,15.3320,NULL,NULL,NULL,NULL,40.7,40.727,0.81,805,0.63,625,NULL,NULL,NULL,NULL
27,726,0.7260,34,0.0345,14.887,14.8875,62.4,62.404,9.59,9.5854,81.7,81.685,0.84,838,0.25,245,15.2,15.203,4.5,4.456
28,178,0.1778,25,0.0254,14.914,14.9138,77.6,77.604,9.76,9.7642,38.1,38.128,1.03,1.030,0.82,818,23.3,23.260,18.5,18.476
29,1.231,1.2314,15,0.0146,14.311,14.3110,57.1,57.116,9.74,9.7391,82.7,82.745,0.98,982,0.20,198,16.3,16.311,3.3,3.285
30,152,0.1516,25,0.0252,14.077,14.0772,61.4,61.397,9.90,9.8954,36.1,36.111,0.90,904,0.74,738,16.1,16.139,13.2,13.179
31,423,0.4225,20,0.0196,15.461,15.4608,77.0,76.994,9.54,9.5386,55.3,55.336,0.68,676,0.39,394,15.1,15.142,8.8,8.835
32,187,0.1874,34,0.0344,14.143,14.1432,71.8,71.811,10.01,10.0051,41.2,41.191,0.77,769,0.59,590,16.1,16.066,12.3,12.329
33,373,0.3730,19,0.0188,13.265,13.2652,55.2,55.197,10.13,10.1278,53.3,53.252,1.30,1.303,0.80,802,20.9,20.924,12.9,12.872
34,723,0.7231,17,0.0173,15.186,15.1855,67.2,67.239,9.53,9.5310,68.5,68.470,0.70,695,0.27,275,13.6,13.594,5.4,5.375
35,320,0.3198,NULL,NULL,15.143,15.1432,NULL,NULL,NULL,NULL,50.9,50.877,0.50,499,0.32,324,NULL,NULL,NULL,NULL
36,150,0.1499,32,0.0322,14.848,14.8479,80.1,80.147,9.82,9.8186,35.9,35.918,0.86,855,0.70,700,19.9,19.935,16.3,16.316
37,609,0.6086,44,0.0440,14.530,14.5304,91.8,91.770,10.06,10.0633,69.5,69.500,0.86,865,0.35,355,23.1,23.090,9.5,9.472
38,835,0.8351,27,0.0272,14.922,14.9218,82.3,82.311,9.81,9.8122,73.5,73.539,0.95,955,0.32,316,22.9,22.866,7.6,7.572
39,700,0.6996,12,0.0120,14.009,14.0094,36.6,36.559,9.47,9.4722,68.8,68.802,1.88,1.884,0.75,750,20.0,20.032,8.0,7.975
40,568,0.5677,119,0.1192,14.876,14.8761,159.2,159.158,10.40,10.4032,83.2,83.155,0.89,891,0.28,279,41.3,41.262,12.9,12.899
41,375,0.3752,34,0.0338,14.033,14.0330,83.8,83.762,10.18,10.1829,54.6,54.572,1.30,1.297,0.78,782,31.6,31.606,19.0,19.045
42,1.178,1.1784,14,0.0137,14.437,14.4370,73.5,73.521,9.91,9.9080,90.0,90.000,1.03,1.030,0.23,230,22.0,22.036,4.9,4.922
43,33,0.0325,75,0.0752,15.419,15.4192,66.6,66.588,9.43,9.4291,35.4,35.368,0.42,420,0.35,354,8.1,8.131,6.9,6.857
44,425,0.4248,9,0.0090,14.668,14.6681,80.4,80.425,9.89,9.8935,62.8,62.772,0.59,587,0.35,346,13.7,13.744,8.1,8.093
45,267,0.2670,0,0.0000,14.061,14.0610,4.8,4.800,7.69,7.6881,50.0,49.995,1.02,1.016,0.73,729,1.4,1.419,1.0,1.019
46,459,0.4593,NULL,NULL,15.221,15.2207,NULL,NULL,NULL,NULL,61.7,61.672,0.53,533,0.27,275,NULL,NULL,NULL,NULL
47,209,0.2091,67,0.0666,14.636,14.6363,119.5,119.521,10.25,10.2504,45.7,45.662,0.72,724,0.52,524,25.2,25.187,18.2,18.204
