# SoFiA source catalogue
# Creator: SoFiA 2.4.1 (23-Mar-2022)
# Time:    Fri, 22 Aug 2025, 09:01:53
#
# Note that the plain-text catalogue is solely intended for
# visual inspection and should not be used for quantitative
# analysis due to limited precision and the lack of Unified
# Content Descriptors.  The XML catalogue should instead be
# imported into Python or VO-compatible software to analyse
# the source parameters measured by SoFiA, e.g. through the
# astropy.io.votable module of Astropy.
#
# Header rows:
#   1 = column number
#   2 = parameter name
#   3 = parameter unit
#
#                           1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40            41            42            43            44            45            46
#                        name            id             x             y             z         x_min         x_max         y_min         y_max         z_min         z_max         n_pix         f_min         f_max         f_sum           rel          flag          fill          mean           std          skew          kurt           rms           w20           w50          wm50       ell_maj       ell_min        ell_pa     ell3s_maj     ell3s_min      ell3s_pa        kin_pa         err_x         err_y         err_z     err_f_sum            ra           dec         v_opt        x_peak        y_peak        z_peak       ra_peak      dec_peak    v_opt_peak
#                           -             -           pix           pix           pix           pix           pix           pix           pix           pix           pix             -       Jy/beam       Jy/beam       Jy/beam             -             -             -       Jy/beam       Jy/beam             -             -       Jy/beam           pix           pix           pix           pix           pix           deg           pix           pix           deg           deg           pix           pix           pix       Jy/beam           deg           deg           m/s           pix           pix           pix           deg           deg           m/s

  "SoFiA J230401.94+123758.6"             1    336.078865    367.651888    198.789932           333           339           365           370           197           201            28  -2.92566e-04      0.003633      0.041650      0.000000             0      0.133333      1.979640      1.923974      0.670308     -1.040417      0.001989      3.934766      1.868260      3.929339      4.212124      1.861956     38.848516      0.000000      0.000000      0.000000     -1.000000      0.319060      0.365181      0.249069      0.010526    346.008081     12.632940   2.03839e+06           336           367           198    346.008307     12.631129   2.04103e+06
  "SoFiA J230351.82+121402.1"             2    351.038337    224.014538    193.660134           349           354           222           226           190           195            45   6.17899e-05      0.003951      0.106755      0.000000             0      0.250000      3.791262      2.415838      0.088810     -1.209490      0.001943      3.762957      3.320847      3.781602      2.697526      2.089262     57.295059      0.000000      0.000000      0.000000     -1.000000      0.161590      0.138476      0.177579      0.013033    345.965911     12.233908   2.05554e+06           350           224           195    345.968862     12.233870   2.05106e+06
  "SoFiA J230440.76+115724.2"             3    279.314645    124.188427    194.057986           276           282           118           130           191           195            44   5.35564e-04      0.003092      0.095975      0.000000             0      0.096703      4.254138      2.458386     -0.180686     -1.169675      0.001956      4.000000      0.759740      4.000000      8.123034      1.985480     17.486386      0.000000      0.000000      0.000000     -1.000000      0.198824      0.523338      0.178333      0.012975    346.169843     11.956735   2.05421e+06           280           126           195    346.167895     11.961767   2.05106e+06
  "SoFiA J230430.45+123734.9"             4    294.350489    365.257791    180.652868           293           297           362           367           170           185            32  -2.89743e-04      0.004569      0.084383      0.000000             0      0.066667      3.412947      2.002806     -0.119757     -1.501708      0.001551     11.285116      2.508657     12.101008      3.114605      1.375311     39.661048      1.421360      0.551189     42.572911     -1.000000      0.117735      0.126753      0.489966      0.008775    346.126872     12.626363   2.09902e+06           294           366           183    346.127869     12.628425   2.09118e+06
  "SoFiA J230601.63+123629.0"             5    160.884120    358.702809    178.899365           159           163           356           361           176           181            51   1.75033e-04      0.004527      0.090822      0.000000             0      0.283333      2.009749      1.202627      0.854821     -0.040310      0.002619      4.926764      2.893141      3.663657      2.886534      1.675214     15.154225      0.000000      0.000000      0.000000     -1.000000      0.188082      0.301629      0.268249      0.018707    346.506782     12.608042   2.10489e+06           161           358           180    346.506450     12.606090   2.10121e+06
  "SoFiA J230458.08+120706.4"             6    253.903590    182.404723    169.268989           249           256           180           185           165           175            67  -5.16802e-04      0.005482      0.140717      0.000000             0      0.126894      3.365139      2.582338      0.044355     -1.542075      0.001641     10.000000     10.000000     10.000000      3.980655      2.273657     62.285294      4.320207      0.650304     50.213106     -1.000000      0.161144      0.127630      0.371375      0.013432    346.241998     12.118457   2.13709e+06           255           182           165    346.238883     12.117333   2.15137e+06
  "SoFiA J230429.24+124103.2"             7    296.113786    386.091712    166.154989           294           299           384           391           164           170            29     -0.001073      0.003574      0.060425      0.000000             0      0.086310      4.417940      2.101788     -1.094306      0.766977      0.001701      6.000000      0.484003      6.000000      3.241273      2.264543    -33.088922      0.000000      0.000000      0.000000     -1.000000      0.179951      0.231329      0.359235      0.009161    346.121827     12.684233   2.14751e+06           296           386           164    346.122151     12.683979   2.15472e+06
  "SoFiA J230530.29+115653.6"             8    206.640197    121.138784    162.484164           202           215           113           129           161           170           207     -0.001122      0.006754      0.556583      0.000000             4      0.086975      4.818190      3.606130      0.182222     -0.898313      0.001402      0.800713      0.500446      6.049350      8.577047      3.935177     28.300558      8.291376      2.966724     20.116832    345.571063      0.107414      0.132829      0.109311      0.020177    346.376189     11.948236   2.15979e+06           209           117           161    346.369483     11.936742   2.16475e+06
  "SoFiA J230613.90+120604.8"             9    142.703756    176.307967    164.545426           140           144           174           178           163           167            32  -5.58637e-04      0.004161      0.077033      0.000000             0      0.256000      3.918925      2.476250     -0.756882     -1.186488      0.002128      4.000000      0.488446      4.000000      2.354635      1.955707     12.167457      0.000000      0.000000      0.000000     -1.000000      0.154334      0.170597      0.249884      0.012037    346.557908     12.101333   2.15289e+06           143           176           163    346.557065     12.100478   2.15806e+06
  "SoFiA J230553.64+123905.1"            10    172.597753    374.308432    163.722251           169           178           367           381           161           165            87   4.26680e-04      0.003658      0.211081      0.000000             4      0.116000      4.646147      2.034072     -0.571407     -0.940223      0.001262      2.189561      1.244404      2.115635      8.458783      4.314248      3.994217      7.481406      0.000000     43.983861     -1.000000      0.135941      0.246209      0.040560      0.011768    346.473480     12.651423   2.15565e+06           170           377           164    346.480883     12.658893   2.15472e+06
