# SoFiA source catalogue
# Creator: SoFiA 2.4.1 (23-Mar-2022)
# Time:    Thu, 21 Aug 2025, 18:03:01
#
# Note that the plain-text catalogue is solely intended for
# visual inspection and should not be used for quantitative
# analysis due to limited precision and the lack of Unified
# Content Descriptors.  The XML catalogue should instead be
# imported into Python or VO-compatible software to analyse
# the source parameters measured by SoFiA, e.g. through the
# astropy.io.votable module of Astropy.
#
# Header rows:
#   1 = column number
#   2 = parameter name
#   3 = parameter unit
#
#                           1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40            41            42            43            44            45            46
#                        name            id             x             y             z         x_min         x_max         y_min         y_max         z_min         z_max         n_pix         f_min         f_max         f_sum           rel          flag          fill          mean           std          skew          kurt           rms           w20           w50          wm50       ell_maj       ell_min        ell_pa     ell3s_maj     ell3s_min      ell3s_pa        kin_pa         err_x         err_y         err_z     err_f_sum            ra           dec         v_opt        x_peak        y_peak        z_peak       ra_peak      dec_peak    v_opt_peak
#                           -             -           pix           pix           pix           pix           pix           pix           pix           pix           pix             -       Jy/beam       Jy/beam       Jy/beam             -             -             -       Jy/beam       Jy/beam             -             -       Jy/beam           pix           pix           pix           pix           pix           deg           pix           pix           deg           deg           pix           pix           pix       Jy/beam           deg           deg           m/s           pix           pix           pix           deg           deg           m/s

  "SoFiA J022632.56+182432.7"             1     68.613272     96.650458    196.294469            67            71            95            99           194           198            35  -1.57704e-04      0.003464      0.057784      0.000000             0      0.280000      2.114696      1.217247     -0.222875     -1.083882      0.002161      3.685192      2.862330      3.533647      2.741531      1.359124     46.466780      0.000000      0.000000      0.000000     -1.000000      0.252313      0.230460      0.199157      0.012783     36.635685     18.409088   1.30563e+06            69            96           196     36.634551     18.407282   1.30661e+06
  "SoFiA J022524.98+184310.9"             2    164.737348    208.447431    176.676902           163           167           206           211           171           181            67  -2.61803e-04      0.004174      0.141208      0.000000             0      0.203030      2.490473      1.538714      0.768948     -0.109841      0.002060      7.389323      3.233299      7.211063      2.471530      1.801669     37.710479      0.000000      0.000000      0.000000     -1.000000      0.120350      0.144719      0.267597      0.016861     36.354077     18.719685   1.37089e+06           164           208           179     36.356240     18.718443   1.36316e+06
  "SoFiA J022550.73+182945.4"             3    128.152103    127.892668    135.802865           112           146           108           152            94           177         17852     -0.001913      0.051489    168.918437      0.000000             0      0.134936      9.440543      7.952186      1.714632      4.547290      0.001135     78.618182     74.342904     77.209850     14.638159      7.761136    -31.418008     23.271455     10.640155    -31.837191    151.369372      0.005532      0.006947      0.021066      0.151641     36.461379     18.495951   1.50698e+06           125           123           168     36.470611     18.482361   1.39977e+06
  "SoFiA J022632.19+182637.6"             4     69.162188    109.140715    169.732760            65            73           105           112           166           176           107  -2.02683e-04      0.004842      0.211847      0.000000             0      0.135101      2.182704      1.350161      0.528426     -0.746563      0.001379      8.046037      3.247312      8.127216      3.661364      2.294318    -67.888587      2.779289      1.366411    -75.105796     -1.000000      0.117533      0.093129      0.140492      0.014261     36.634113     18.443785   1.39400e+06            68           109           169     36.637516     18.443391   1.39644e+06
  "SoFiA J022447.93+182245.4"             5    217.550489     85.955064    168.918417           215           220            83            88           165           171            51  -6.73568e-04      0.003150      0.069183      0.000000             0      0.202381      1.751811      1.081878      0.143489      0.149262      0.001483      4.488998      1.316128      4.632607      3.082228      1.553910     50.627570      0.000000      0.000000      0.000000     -1.000000      0.221838      0.181780      0.243211      0.010594     36.199702     18.379278   1.39672e+06           217            87           170     36.201309     18.382182   1.39312e+06
  "SoFiA J022631.16+182423.8"             6     70.606892     95.759951    159.790334            69            74            93            99           156           163           100  -1.11155e-05      0.003679      0.200530      0.000000             0      0.297619      2.585966      1.401930      0.540366     -0.504960      0.001749      6.939600      4.145513      6.904691      3.411458      2.038078     18.740875      1.305284           nan     68.419327     -1.000000      0.096384      0.138264      0.150883      0.017495     36.629846     18.406620   1.42710e+06            70            96           160     36.631624     18.407285   1.42640e+06
  "SoFiA J022635.35+182647.8"             7     64.664471    110.158641    157.811410            60            68           107           114           154           160            74  -9.14596e-04      0.003092      0.084240      0.000000             0      0.146825      1.294140      1.086880     -0.048432     -1.133093      0.001566      5.675725      5.023470      5.629968      5.230903      1.732874     50.078093      0.000000      0.000000      0.000000     -1.000000      0.305042      0.265049      0.248631      0.013473     36.647286     18.446600   1.43369e+06            66           109           160     36.643372     18.443385   1.42640e+06
  "SoFiA J022513.39+184055.1"             8    181.214513    194.884294    114.920060           179           183           193           198           113           117            51   6.25921e-05      0.004590      0.094352      0.000000             0      0.340000      2.183798      1.466656      0.600317     -0.428958      0.002034      4.000000      4.000000      4.000000      3.102480      1.581772     28.839427      0.000000      0.000000      0.000000     -1.000000      0.165040      0.201743      0.177590      0.014523     36.305785     18.681976   1.57655e+06           182           194           114     36.303484     18.679517   1.57961e+06
  "SoFiA J022525.86+182359.5"             9    163.544990     93.309112    101.120714           160           165            91            96            97           104            37   3.10577e-04      0.004258      0.077234      0.000000             0      0.128472      2.233368      1.261476      0.078971     -1.376265      0.001450      3.062975      1.089525      3.754076      2.668936      1.842345     26.013912      0.000000      0.000000      0.000000     -1.000000      0.153030      0.155926      0.175123      0.008819     36.357769     18.399858   1.62254e+06           164            93           101     36.356437     18.398998   1.62294e+06
  "SoFiA J022513.28+184036.4"            10    181.373462    193.015542     99.545363           179           183           191           195            98           103            37   5.72827e-04      0.004293      0.095466      0.000000             0      0.246667      3.603674      2.167231      0.034156     -1.700959      0.001967      5.000000      0.500000      5.000000      2.396774      1.708336    -43.992413      1.253462      0.000000     88.578998     -1.000000      0.124833      0.139386      0.204463      0.011965     36.305324     18.676784   1.62779e+06           182           193            98     36.303486     18.676740   1.63294e+06
