# SoFiA source catalogue
# Creator: SoFiA 2.4.1 (23-Mar-2022)
# Time:    Fri, 22 Aug 2025, 08:28:18
#
# Note that the plain-text catalogue is solely intended for
# visual inspection and should not be used for quantitative
# analysis due to limited precision and the lack of Unified
# Content Descriptors.  The XML catalogue should instead be
# imported into Python or VO-compatible software to analyse
# the source parameters measured by SoFiA, e.g. through the
# astropy.io.votable module of Astropy.
#
# Header rows:
#   1 = column number
#   2 = parameter name
#   3 = parameter unit
#
#                           1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40            41            42            43            44            45            46
#                        name            id             x             y             z         x_min         x_max         y_min         y_max         z_min         z_max         n_pix         f_min         f_max         f_sum           rel          flag          fill          mean           std          skew          kurt           rms           w20           w50          wm50       ell_maj       ell_min        ell_pa     ell3s_maj     ell3s_min      ell3s_pa        kin_pa         err_x         err_y         err_z     err_f_sum            ra           dec         v_opt        x_peak        y_peak        z_peak       ra_peak      dec_peak    v_opt_peak
#                           -             -           pix           pix           pix           pix           pix           pix           pix           pix           pix             -       Jy/beam       Jy/beam       Jy/beam             -             -             -       JY/BEAM       JY/BEAM             -             -       Jy/beam           pix           pix           pix           pix           pix           deg           pix           pix           deg           deg           pix           pix           pix       Jy/beam           deg           deg           m/s           pix           pix           pix           deg           deg           m/s

  "SoFiA J082035.53+683602.7"             1    254.877866    256.112777     31.712012           249           259           251           261            11            51           561      0.001210      0.016535      3.251993      0.000000             0      0.113082      7.357994      3.908659      1.484934      2.026324      0.001278     39.502778     37.958608     39.821511      4.380917      2.436887    -26.097828      6.050324      3.288754    -31.006198    336.759770      0.014489      0.019161      0.131907      0.030265    125.148061     68.600748   4.67439e+06           255           256            49    125.146667     68.600278   4.49073e+06
  "SoFiA J082119.81+692832.6"             2    239.359476    466.120976     38.736930           231           247           463           469            31            50           372   9.27872e-04      0.004244      0.941048      0.000000             0      0.156303      3.192328      0.873664      0.654048      0.555842      0.001901     13.471662     10.850852     12.713856      8.168120      1.803007    -74.512693      8.414839      1.544872    -73.662867     -1.000000      0.153563      0.055225      0.148660      0.036672    125.332543     69.475718   4.59973e+06           242           466            42    125.301159     69.475244   4.56507e+06
  "SoFiA J082814.39+680535.1"             3     83.708385    136.939413     35.422002            72           101           132           141            19            50           479      0.001020      0.005253      1.388064      0.000000             0      0.049896      3.090530      0.761842      1.166170      2.198968      0.001400     29.402643     20.856168     28.759657     10.252808      3.010491    -72.461697      9.071069      3.024744    -67.950143    286.110929      0.113452      0.046161      0.185933      0.030642    127.059956     68.093089   4.63496e+06            87           139            30    127.023910     68.102094   4.69259e+06
  "SoFiA J081401.63+682131.6"             4    400.127932    199.974075     34.525774           373           416           193           205            22            49          1141   6.48989e-04      0.004790      2.999220      0.000000             0      0.071241      3.310020      0.947417      0.284664     -0.206714      0.001215     21.166664     14.684143     18.421253     17.930536      2.506796    -77.177382     21.057225      2.758110    -77.051938    279.721230      0.122138      0.032934      0.079267      0.041032    123.506772     68.358778   4.64448e+06           402           201            38    123.485315     68.362842   4.60756e+06
  "SoFiA J080829.68+693543.5"             5    507.834429    501.033174     29.807289           499           511           490           511            16            47           714   3.81005e-04      0.005323      2.015886      0.000000             1      0.078016      4.407038      1.703812      0.335546     -0.136922      0.001617     25.464184     12.648777     24.768140      9.234861      5.444068     -4.070894     10.082504      5.140677     -1.810659    165.620522      0.060485      0.095743      0.139807      0.043216    122.123650     69.595418   4.69464e+06           511           506            31    122.082884     69.615438   4.68196e+06
  "SoFiA J082352.55+692540.0"             6    185.656140    455.057578     32.684171           176           197           452           458            21            46           401      0.001430      0.005333      1.185646      0.000000             0      0.100150      2.964168      0.763649      0.399037      0.536670      0.002002     15.303989     12.012092     14.410394      9.599553      2.091159    -80.350367      9.141985      1.806809    -81.154215     -1.000000      0.161019      0.045302      0.166984      0.040087    125.968957     69.427783   4.66406e+06           183           455            36    126.000441     69.427392   4.62882e+06
  "SoFiA J082518.77+685026.4"             7    152.650197    314.677869     31.694540           146           163           311           318            22            46           341   4.81785e-04      0.004153      0.747701      0.000000             0      0.094722      3.186163      1.014592      0.247063     -0.181439      0.001628     19.707264      4.068517     19.879819      6.308059      1.915752    -72.708463      4.811104      1.758049    -73.784774     -1.000000      0.113526      0.050370      0.217607      0.030059    126.328196     68.840676   4.67457e+06           152           314            30    126.335548     68.837799   4.69259e+06
  "SoFiA J082645.18+684855.5"             8    121.315301    309.307930     35.167678           116           128           306           312            27            46           197      0.001244      0.003985      0.522085      0.000000             0      0.108242      3.001833      0.830388      0.335517     -0.264905      0.002077     18.133799      8.120673     18.019557      6.266763      1.628139    -75.225700      6.039751      1.069690    -79.748316     -1.000000      0.168754      0.062896      0.283692      0.029147    126.688248     68.815417   4.63766e+06           118           308            30    126.726075     68.809619   4.69259e+06
  "SoFiA J081108.54+673117.5"             9    471.594955      1.269166     35.525366           461           483             0             4            25            46           274   4.80839e-04      0.004573      0.666522      0.000000             1      0.108300      6.026194      3.022052      1.771847      5.495971      0.001429     20.189430     17.330505     20.199873     11.599849      2.160744    -87.958445     11.250207      1.975165    -87.231757    246.045392      0.212366      0.038738      0.213587      0.023659    122.785567     67.521520   4.63386e+06           470             0            43    122.803460     67.516489   4.55445e+06
  "SoFiA J082204.55+673224.6"            10    220.865998      1.693487     32.718241           210           231             0             4            18            44           296   1.86448e-04      0.004796      0.748265      0.000000             1      0.099663      4.244785      1.459021      0.101869     -0.131263      0.001828     18.667524      4.141534     18.881930      9.954249      1.710548    -77.901539      9.972597      1.202791    -75.461203     -1.000000      0.197176      0.054984      0.224881      0.031451    125.518951     67.540177   4.66369e+06           218             1            32    125.550160     67.537211   4.67133e+06
