# SoFiA source catalogue
# Creator: SoFiA 2.4.1 (23-Mar-2022)
# Time:    Fri, 22 Aug 2025, 08:32:01
#
# Note that the plain-text catalogue is solely intended for
# visual inspection and should not be used for quantitative
# analysis due to limited precision and the lack of Unified
# Content Descriptors.  The XML catalogue should instead be
# imported into Python or VO-compatible software to analyse
# the source parameters measured by SoFiA, e.g. through the
# astropy.io.votable module of Astropy.
#
# Header rows:
#   1 = column number
#   2 = parameter name
#   3 = parameter unit
#
#                           1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40            41            42            43            44            45            46
#                        name            id             x             y             z         x_min         x_max         y_min         y_max         z_min         z_max         n_pix         f_min         f_max         f_sum           rel          flag          fill          mean           std          skew          kurt           rms           w20           w50          wm50       ell_maj       ell_min        ell_pa     ell3s_maj     ell3s_min      ell3s_pa        kin_pa         err_x         err_y         err_z     err_f_sum            ra           dec         v_app        x_peak        y_peak        z_peak       ra_peak      dec_peak    v_app_peak
#                           -             -           pix           pix           pix           pix           pix           pix           pix           pix           pix             -       Jy/beam       Jy/beam       Jy/beam             -             -             -       JY/BEAM       JY/BEAM             -             -       Jy/beam           pix           pix           pix           pix           pix           deg           pix           pix           deg           deg           pix           pix           pix       Jy/beam           deg           deg           m/s           pix           pix           pix           deg           deg           m/s

  "SoFiA J085930.40+445443.2"             1    513.505957    508.467000     75.766517             0          1024             0          1024             0           150      16855150     -0.005772      0.045980   3.28058e+04      0.000000             7      0.106245   6.65237e+23   2.06333e+25     52.256243   3642.750985      0.001134    150.000000    136.237653    150.000000    547.595413    543.221369    -30.668764    592.122017    590.988699     36.212093    176.838775      0.040448      0.040495      0.005860      4.655130    134.876679     44.912008  -2.51595e+05           517           487           108    134.874624     44.903064  -3.58631e+05
  "SoFiA J090001.13+450107.7"             2    296.276689    764.938695    149.360443           272           325           735           802           146           150          2350   2.50217e-04      0.004100      4.805066      0.000000             2      0.127996    163.465563    502.420721      6.697895     52.006095      0.001198      1.221655      0.669870      4.000000     32.896272     16.403785    -22.629824     33.341396      7.334353    -20.523443     -1.000000      0.139008      0.189562      0.019723      0.058089    135.004724     45.018801  -4.95976e+05           306           776           150    134.999003     45.023416  -4.98099e+05
  "SoFiA J085834.43+445151.6"             3    910.211527    394.603799    149.423128           882           924           385           406           146           150           489   1.36058e-04      0.002942      0.889626      0.000000             2      0.103383      8.640942      5.363643      1.542883      3.155742      0.001083      0.944081      0.590050      1.266879     16.532238      8.772266     85.529338      0.000000      0.000000      0.000000     -1.000000      0.226836      0.130753      0.036377      0.023955    134.643469     44.864327  -4.96184e+05           910           397           150    134.643590     44.865326  -4.98099e+05
  "SoFiA J085820.02+444729.0"             4   1012.970789    219.885357    146.147247           996          1024           197           264           142           150           990     -0.001031      0.002655      1.443930      0.000000             7      0.055781     18.086002     37.368520      7.924633     87.662464   8.69890e-04      7.368371      2.643291      7.562630     25.668374     14.856807    -10.323640     20.749564      3.959074     38.294248     -1.000000      0.137734      0.285988      0.036775      0.027370    134.583432     44.791389  -4.85306e+05          1024           207           145    134.576984     44.786004  -4.81496e+05
  "SoFiA J085924.24+444340.9"             5    557.304883     66.923558    148.004852           512           580            37            94           144           150          1791   3.57365e-04      0.002309      2.221155      0.000000             2      0.063932     27.884818     36.119972      2.220275      9.754775   9.74726e-04      6.000000      6.000000      6.000000     36.929145     22.546033     51.494372      0.000000      0.000000      0.000000     -1.000000      0.317782      0.259340      0.045471      0.041251    134.850993     44.728029  -4.91474e+05           567            63           150    134.845308     44.726392  -4.98099e+05
  "SoFiA J085905.54+450316.7"             6    689.161987    850.917973    146.547995           659           728           840           866           143           149          1078  -2.55053e-05      0.003333      2.032239      0.000000             0      0.081481     17.064302     40.492150     13.321882    266.130697      0.001081      4.599522      2.576501      4.494769     40.608696      9.489322    -85.541831     18.542180      9.104581     73.601264     -1.000000      0.363485      0.085842      0.021399      0.035500    134.773073     45.054650  -4.86636e+05           722           854           146    134.753702     45.055915  -4.84817e+05
  "SoFiA J090034.73+444730.1"             7     56.965923    220.435031    144.685076             0            94           182           266           139           148          3467  -3.91673e-04      0.004250      6.924377      0.000000             5      0.042935     17.158734     51.382040     19.100913    416.955349      0.001008      6.488965      5.651874      6.571515     57.091381     19.051667    -44.902834     59.733048     12.659555    -37.678314    326.449917      0.200693      0.177973      0.018874      0.059379    135.144727     44.791682  -4.80450e+05            50           213           147    135.148802     44.788574  -4.88137e+05
  "SoFiA J085839.75+444618.5"             8    873.135882    172.447611    145.081148           841           904           115           205           143           148          2246     -0.001171      0.003312      3.720015      0.000000             0      0.064274     14.255694     19.202041      4.870719     30.361750      0.001170      4.801368      2.139117      4.171310     41.734546     22.529509     34.378983      0.000000      0.000000      0.000000     -1.000000      0.216364      0.312678      0.022163      0.055446    134.665604     44.771805  -4.81765e+05           853           175           145    134.677419     44.772890  -4.81496e+05
  "SoFiA J085841.36+444323.4"             9    861.986590     55.684504    145.492468           843           878            32            75           144           148           890   4.96066e-04      0.002722      1.493529      0.000000             0      0.112374     13.801271     12.430684      2.575620      7.751639      0.001148      4.000000      4.000000      4.000000     18.841679      8.994947     27.304219      6.850640      2.540744     71.953868     -1.000000      0.149967      0.222564      0.039050      0.034241    134.672321     44.723165  -4.83131e+05           858            58           144    134.674655     44.724134  -4.78175e+05
  "SoFiA J085818.74+450341.2"            10   1019.691952    868.055249    142.878475          1009          1024           860           874           140           145           191   4.31552e-04      0.002943      0.309783      0.000000             1      0.132639      8.430910      4.363418      2.319480      5.582868   7.43430e-04      5.000000      5.000000      5.000000      8.549767      6.041763     57.218118      8.883685      4.253753     30.381559     -1.000000      0.138888      0.108410      0.085065      0.010274    134.578084     45.061448  -4.74451e+05          1024           867           145    134.575545     45.061002  -4.81496e+05
  "SoFiA J085848.90+450035.2"            11    806.950762    743.430054    138.614153           801           813           731           757           135           140           264   5.17091e-04      0.001789      0.303720      0.000000             0      0.125356     13.355849     15.546069      3.933451     17.293908   7.99643e-04      2.800000      2.500000      2.804169     16.485619      5.105091    -11.361444      0.000000      0.000000      0.000000     -1.000000      0.130854      0.317831      0.051443      0.012993    134.703735     45.009779  -4.60291e+05           804           732           138    134.705488     45.005019  -4.58251e+05
  "SoFiA J085907.75+445947.6"            12    673.685353    711.471071    138.345431           644           710           668           735           135           140          1369     -0.001433      0.003838      2.795692      0.000000             0      0.050080      9.989062     21.580536     29.135160    979.802029      0.001060      3.862774      3.487769      3.817041     42.308804     19.732518    -55.842128     38.044881     10.594482    -83.698720     89.936276      0.237176      0.207197      0.022657      0.039202    134.782298     44.996554  -4.59398e+05           683           723           140    134.776801     45.001354  -4.64893e+05
  "SoFiA J085917.90+445908.1"            13    601.943755    685.092924    130.000721           580           628           669           708           127           140          1244  -2.56439e-04      0.003016      2.326084      0.000000             0      0.045335     15.899833     24.475441      3.772744     17.371379      0.001223      0.802731      0.501707     12.628560     21.930762     13.907721    -50.584339      0.000000      0.000000      0.000000     -1.000000      0.171217      0.165374      0.073756      0.043141    134.824579     44.985591  -4.31688e+05           604           682           127    134.823369     44.984301  -4.21724e+05
