galaxy,group,phase,ra,dec,cz,distance_mpc,bmaj_arcsec,bmin_arcsec,beam_geom_arcsec,hyperleda_anames,hyperleda_sep_arcsec,logD25,e_logD25,hi_diameter_kpc,optical_diameter_kpc
HCG30a,HCG30,3a,69.07744,-2.83129,4697,62,57.859071187788004,44.760384145799996,50.89002115036483,MCG0-12-051           CGCG393-44            HCG30A,0.41660907408476566,1.2000000476837158,0.09000000357627869,15.29631899729206,28.582854511309083
HCG30b,HCG30,3a,69.12619,-2.86656,4625,61,57.859071187788004,44.760384145799996,50.89002115036483,MCG0-12-054           CGCG393-45            HCG30B,1.4235770579469644,1.100000023841858,0.05999999865889549,15.049604174755089,22.33797087705174
HCG30c,HCG30,3a,69.097,-2.79985,4508,59,57.859071187788004,44.760384145799996,50.89002115036483,HCG30C,0.5490036978422483,0.7900000214576721,0.05999999865889549,14.55617452968115,10.581954617181037
HCG30d,HCG30,3a,69.15276,-2.84302,4666,61,57.859071187788004,44.760384145799996,50.89002115036483,HCG30D,2.437647796434186,0.75,0.05999999865889549,15.049604174755089,9.978004524953494
HCG37a,HCG37,3a,138.41438,29.99243,6745,97,49.544663144184,47.411019853343994,48.466101637702906,NGC2783               UGC4859               MCG5-22-019           CGCG151-27            !HCG37A               KPG192B,4.303155965650049,1.2999999523162842,0.029999999329447746,22.791475091739617,56.297038330100875
HCG37b,HCG37,3a,138.38589,29.99977,6741,97,49.544663144184,47.411019853343994,48.466101637702906,UGC4856               MCG5-22-017           CGCG151-26            !HCG37B               FGC857                KPG192A,2.4286077820681555,1.190000057220459,0.05999999865889549,22.791475091739617,43.700424234346436
HCG37c,HCG37,3a,138.40514,29.99954,7357,108,49.544663144184,47.411019853343994,48.466101637702906,MCG5-22-020           HCG37C                IRAS09105+3012,2.5438539541241325,0.6499999761581421,0.1599999964237213,25.37607535987504,14.032582144406788
HCG37d,HCG37,3a,138.39107,30.01442,6207,89,49.544663144184,47.411019853343994,48.466101637702906,!MCG5-22-016          HCG37D,1.1727582984661749,0.5799999833106995,0.23000000417232513,20.911765805822945,9.84246437432202
HCG37e,HCG37,3a,138.3918,30.03975,6363,91,49.544663144184,47.411019853343994,48.466101637702906,!MCG5-22-018          HCG37E,0.426567668103909,0.5600000023841858,0.07999999821186066,21.381693127302114,9.610705208769724
HCG62a,HCG62,3a,193.27438,-9.20458,4355,62,24.8392667030292,14.8901275932084,19.2317407046226,NGC4761               MCG-1-33-037          HCG62A,4.145015811531386,1.4199999570846558,0.05000000074505806,5.7805996940326425,47.43572122849732
HCG62b,HCG62,3a,193.26862,-9.19889,3651,53,24.8392667030292,14.8901275932084,19.2317407046226,NGC4759               NGC4776               MCG-1-33-036          HCG62B,6.015366273480662,1.2899999618530273,0.03999999910593033,4.941480383608549,30.06004961003968
HCG62c,HCG62,3a,193.29147,-9.19809,4359,62,24.8392667030292,14.8901275932084,19.2317407046226,NGC4764               NGC4778               MCG-1-33-039          HCG62C,3.8585987907675334,1.159999966621399,0.10999999940395355,5.7805996940326425,26.067868268403643
HCG62d,HCG62,3a,193.27827,-9.25811,4123,59,24.8392667030292,14.8901275932084,19.2317407046226,HCG62D                NPM1G-08.0401,2.9855667380752937,0.699999988079071,0.10999999940395355,5.50089325722461,8.601334972434914
HCG92b,HCG92,3a,338.994,33.96595,5774,73,15.000000000001199,15.000000000001199,15.000000000001199,NGC7318B              (NGC7318)             !UGC12100             MCG6-49-040           CGCG514-62            HCG92B                (ARP319)              (VV288)               NPM1G+33.0465,2.074109865357537,1.2999999523162842,0.1599999964237213,5.3085600000004245,42.367874207189324
HCG92c,HCG92,3a,339.01604,33.97535,6764,90,15.000000000001199,15.000000000001199,15.000000000001199,NGC7319               UGC12102              MCG6-49-041           CGCG514-64            HCG92C                (ARP319)              (VV288)               IRAS22337+3342        NPM1G+33.0466,4.684385061070449,1.2100000381469727,0.05000000074505806,6.5448000000005235,42.45769463012042
HCG92d,HCG92,3a,338.9871,33.96555,6630,87,15.000000000001199,15.000000000001199,15.000000000001199,NGC7318A              (NGC7318)             !UGC12099             MCG6-49-039           CGCG514-61            HCG92D                (ARP319)              (VV288)               ARK560                NPM1G+33.0464,2.7347365407274613,1.1200000047683716,0.1599999964237213,6.326640000000506,33.36054361596683
HCG92e,HCG92,3a,338.96756,33.94459,6599,87,15.000000000001199,15.000000000001199,15.000000000001199,NGC7317               MCG6-49-038           CGCG514-60            HCG92E                (ARP319)              (VV288),4.630380695368595,0.9200000166893005,0.15000000596046448,6.326640000000506,21.049080588121313
HCG97a,HCG97,3c,356.84591,-2.30096,6910,91,63.200907758088,49.539130357284,55.954606674755595,IC5357                MCG-1-60-033          HCG97A,3.3181887497224145,1.2000000476837158,0.05000000074505806,24.68538191748858,41.952254202082685
HCG97b,HCG97,3c,356.90753,-2.31716,6940,92,63.200907758088,49.539130357284,55.954606674755595,IC5359                MCG-1-60-036          HCG97B                FGC2535,3.227404574241882,1.0700000524520874,0.07000000029802322,24.956649850647796,31.441390269180644
HCG97c,HCG97,3c,356.84884,-2.35143,5995,76,63.200907758088,49.539130357284,55.954606674755595,IC5356                MCG-1-60-034          HCG97C,0.35578793050649177,0.9900000095367432,0.05000000074505806,20.61636292010035,21.603666449602013
HCG97d,HCG97,3c,356.82867,-2.31329,6239,80,63.200907758088,49.539130357284,55.954606674755595,IC5351                MCG-1-60-032          HCG97D,5.91363383218294,1.2100000381469727,0.09000000357627869,21.701434652737213,37.74017300455149
HCG97e,HCG97,3c,356.83253,-2.28102,6579,85,63.200907758088,49.539130357284,55.954606674755595,HCG97E,3.694639070987505,0.6600000262260437,0.11999999731779099,23.057774318533287,11.301414753056255
