reynolds_object,environment,distance_mpc,reynolds_lgMHI,reynolds_diameter_hi_arcsec,reynolds_diameter_r_arcsec,reynolds_diameter_hi_kpc,reynolds_diameter_r_kpc,reynolds_ra_deg,reynolds_dec_deg,match_status,query_radius_arcsec,match_count,match_index,separation_arcsec,pgc,hyperleda_objname,hyperleda_anames,hyperleda_otype,hyperleda_mtype,hyperleda_logd25,hyperleda_logr25,hyperleda_ra_deg,hyperleda_dec_deg,hyperleda_d25_arcmin,hyperleda_d25_kpc
J103241-273137,cluster,56.29450509315895,8.68396916173453,49.61007057434931,54.35946782475499,13.539752231284956,14.835974173200272,158.17083333333332,-27.52694444444444,matched,15.0,1,0.0,6.726634129363823,31149.0,ESO501-7              MCG-4-25-014          ESO-LV5010070,ESO501-7              MCG-4-25-014          ESO-LV5010070,G,Sbc,1.0,0.5099999904632568,158.172917,-27.527222,1.0,16.375407744272344
J103244-283639,cluster,56.29450509315895,9.489771056589843,116.60830962642233,106.38297203862446,31.82514360838373,29.03440906966666,158.18333333333334,-28.610833333333336,matched,15.0,1,0.0,6.061785681104677,31154.0,ESO436-34             MCG-5-25-010          ESO-LV4360340         IRAS10303-2821,ESO436-34             MCG-5-25-010          ESO-LV4360340         IRAS10303-2821,G,Sb,1.3799999952316284,0.6800000071525574,158.185,-28.61,2.39883289268131,39.28186672802875
J103248-273119,cluster,56.29450509315895,9.168812215567312,92.74341181117924,57.29335840706592,25.311853066717067,15.636701749240641,158.2,-27.521944444444443,matched,15.0,1,0.0,10.827238414859996,31161.0,NGC3285A              ESO501-8              MCG-4-25-015          ESO-LV5010080,NGC3285A              ESO501-8              MCG-4-25-015          ESO-LV5010080,GM,SBc,1.090000033378601,0.1400000005960464,158.203333,-27.5225,1.2302688653672371,20.14615430547181
J103258-274013,cluster,56.29450509315895,9.16953508419874,87.4224899205471,31.32528245485925,23.859648641141636,8.549404548380348,158.24166666666667,-27.67027777777778,matched,15.0,1,0.0,9.602095445932218,31171.0,ESO501-9              ESO-LV5010090,ESO501-9              ESO-LV5010090,G,Sm,0.9399999976158142,0.4300000071525574,158.243333,-27.668056,0.8709635851746729,14.262383837648544
J103335-272717,cluster,56.29450509315895,9.531466873301827,151.96725965440143,132.36060449906276,41.475430677008866,36.124314465842026,158.39583333333334,-27.454722222222223,matched,15.0,1,0.0,9.317442282255804,31217.0,NGC3285               ESO501-15             MCG-4-25-019          ESO-LV5010150         IRAS10312-2711,NGC3285               ESO501-15             MCG-4-25-019          ESO-LV5010150         IRAS10312-2711,G,SBa,1.4600000381469729,0.25,158.39875,-27.454722,2.8840317564502844,47.227195959303366
J103353-274945,cluster,56.29450509315895,9.19109350591632,89.23072374930676,42.75865177906593,24.353158078523737,11.66983929129268,158.47083333333333,-27.829166666666666,matched,15.0,1,0.0,9.498359929919651,31238.0,ESO436-38             MCG-5-25-013          ESO-LV4360380,ESO436-38             MCG-5-25-013          ESO-LV4360380,G,Sbc,1.0,0.2399999946355819,158.47375,-27.829722,1.0,16.375407744272344
J103420-264728,cluster,56.29450509315895,8.734353178126241,29.09291477935073,17.116098085460287,7.940139033020589,4.671384752339525,158.58333333333334,-26.791111111111118,matched,15.0,1,0.0,8.278336378312957,763823.0,,,G,,0.5600000023841858,0.0299999993294477,158.585833,-26.791667,0.3630780567633239,5.945551222497489
J103420-265408,cluster,56.29450509315895,9.032719851686233,70.00226731630774,38.44717502634743,19.105261172134814,10.49313612786407,158.58333333333334,-26.90222222222222,matched,30.0,1,0.0,18.9673889191462,92288.0,FGCE818,FGCE818,G,Sc,0.9100000262260436,0.7599999904632568,158.589167,-26.903056,0.8128305652490639,13.310431932960787
J103436-273900,cluster,56.29450509315895,9.469918359350952,123.35189633692296,69.9336267707727,33.6656266424388,19.086527556786056,158.65,-27.65,matched,30.0,1,0.0,15.588873104820705,31293.0,NGC3285B              ESO501-18             MCG-4-25-022          ESO-LV5010180         IRAS10322-2723,NGC3285B              ESO501-18             MCG-4-25-022          ESO-LV5010180         IRAS10322-2723,GM,SBb,1.2100000381469729,0.1599999964237213,158.65375,-27.652778,1.6218102398133032,26.55780396077896
J103455-273816,cluster,56.29450509315895,8.679980723505347,50.444590805198686,13.967812194253618,13.767512382135003,3.8121436662720405,158.72916666666666,-27.637777777777774,matched,30.0,1,0.0,17.248878802793385,751988.0,,,G,,0.4799999892711639,0.1299999952316284,158.733333,-27.640833,0.3019951645796955,4.945293956791147
J103459-280440,cluster,56.29450509315895,8.737859492727992,50.840638189393786,54.407038621830345,13.875603005505791,14.848957359847422,158.74583333333334,-28.07777777777778,matched,15.0,1,0.0,7.939726599177924,31330.0,ESO437-2              MCG-5-25-018          ESO-LV4370020         IRAS10326-2748,ESO437-2              MCG-5-25-018          ESO-LV4370020         IRAS10326-2748,G,SBb,1.059999942779541,0.3700000047683716,158.748333,-28.077778,1.14815347022194,18.801481227885528
J103507-275923,cluster,56.29450509315895,8.981889985232016,60.7975370674808,39.73362487173978,16.59307432212517,10.844238473878331,158.77916666666667,-27.989722222222223,matched,30.0,1,0.0,19.19158859982528,31334.0,(ESO437-3)            ESO-LV4370030,(ESO437-3)            ESO-LV4370030,GM,,0.9300000071525574,0.4900000095367431,158.7825,-27.994167,0.8511380522200857,13.937732651769672
J103521-272324,cluster,56.29450509315895,8.764024406983532,47.61012464146727,17.174869200683503,12.993920062660916,4.687424768595621,158.8375,-27.39,matched,15.0,1,0.0,9.536371763976357,755655.0,,,G,,0.5799999833106995,0.3499999940395355,158.840417,-27.390556,0.3801893817104401,6.225756145551255
J103521-274137,cluster,56.29450509315895,9.210249898955462,81.81863974344225,45.28312286088543,22.330226448009892,12.35882667968299,158.8375,-27.69361111111111,matched,15.0,1,0.0,12.265247854720185,31355.0,ESO501-22             ESO-LV5010220,ESO501-22             ESO-LV5010220,G,Sbc,1.0199999809265137,0.6299999952316284,158.840417,-27.695833,1.0471285020627683,17.147156181926956
J103523-281855,cluster,56.29450509315895,9.742502103144249,194.76934921187527,79.27446945268895,53.15712515718379,21.635862683310737,158.84583333333333,-28.31527777777778,matched,15.0,1,0.0,4.792829549040605,31360.0,ESO437-4              MCG-5-25-019          ESO-LV4370040         IRAS10330-2803,ESO437-4              MCG-5-25-019          ESO-LV4370040         IRAS10330-2803,G,SBbc,1.2000000476837158,0.2800000011920929,158.846667,-28.314167,1.58489336647576,25.95327510723303
