reynolds_object,environment,distance_mpc,reynolds_lgMHI,reynolds_diameter_hi_arcsec,reynolds_diameter_r_arcsec,reynolds_diameter_hi_kpc,reynolds_diameter_r_kpc,reynolds_ra_deg,reynolds_dec_deg,match_status,query_radius_arcsec,match_count,match_index,separation_arcsec,pgc,hyperleda_objname,hyperleda_anames,hyperleda_otype,hyperleda_mtype,hyperleda_logd25,hyperleda_logr25,hyperleda_ra_deg,hyperleda_dec_deg,hyperleda_d25_arcmin,hyperleda_d25_kpc
J103139-273049,cluster,56.29450509315895,8.863930249858944,66.2491177638345,15.360060573072012,18.08093860135177,4.192120914346263,157.91250000000002,-27.51361111111111,unmatched,60.0,0,,,,,,,,,,,,,
J103259-273237,cluster,56.29450509315895,8.688497062725377,48.07614586982401,19.366551925940527,13.121108189858052,5.285586406464985,158.24583333333334,-27.54361111111111,unmatched,60.0,0,,,,,,,,,,,,,
J100336-262923,field,13.329388758732971,8.004066596959005,97.83194451715372,10.01306994656894,6.322164431336641,0.6470716183463403,150.9,-26.489722222222223,unmatched,60.0,0,,,,,,,,,,,,,
J100700-273944,field,63.33478431553857,9.113328294008316,80.50413081081183,12.124314177167175,24.719252179669628,3.7228397677537357,151.75,-27.66222222222222,unmatched,60.0,0,,,,,,,,,,,,,
J100746-281451,field,70.19733643744006,8.774132432506597,38.326132524079405,33.73563348228222,13.043390523518305,11.48112301159602,151.94166666666666,-28.2475,unmatched,60.0,0,,,,,,,,,,,,,
J100903-290239,field,16.458652265248567,10.034649135410724,627.7754238207419,153.02089029683057,50.0925853000678,12.210117996073489,152.2625,-29.04416666666667,unmatched,60.0,0,,,,,,,,,,,,,
J101314-271308,field,67.942628330072,9.152378040686228,70.22504238162308,19.896961590466315,23.13178889219904,6.553962795860146,153.30833333333334,-27.218888888888888,unmatched,60.0,0,,,,,,,,,,,,,
J101359-274538,field,38.12276487654062,8.398863376087977,51.16417719205409,10.333359579977447,9.456387314361818,1.9098567749861801,153.49583333333334,-27.760555555555555,unmatched,60.0,0,,,,,,,,,,,,,
J101927-264159,field,37.857961689612985,8.476880231773212,62.27180199178989,15.027343974462898,11.429402509530314,2.758127393775212,154.8625,-26.699722222222224,unmatched,60.0,0,,,,,,,,,,,,,
J102023-253050,field,49.015160524925975,8.706445590378221,53.67323981743207,12.235493131065558,12.754490275925662,2.9075472002837124,155.09583333333333,-25.51388888888889,unmatched,60.0,0,,,,,,,,,,,,,
J102113-262325,field,36.76661204769093,8.183358273985991,36.73000848461776,12.002446296328802,6.54710804539564,2.139430834709244,155.30416666666665,-26.390277777777776,unmatched,60.0,0,,,,,,,,,,,,,
J103721-251319,field,15.804436960172112,7.324275971736378,25.83067900764185,5.683437369608581,1.9792001623663493,0.43547675078151965,159.3375,-25.221944444444443,unmatched,60.0,0,,,,,,,,,,,,,
J104239-300357,field,36.79586272738008,8.50644695469741,62.319378127375145,1.5612494995995996,11.117239652040102,0.2785134474256265,160.6625,-30.06583333333333,unmatched,60.0,0,,,,,,,,,,,,,
J105227-291155,field,51.271539762565766,8.81806157952979,65.6306151862859,9.642129532146116,16.31389647797795,2.3967580155725114,163.1125,-29.198611111111116,unmatched,60.0,0,,,,,,,,,,,,,
J102629-285851,infall,55.32980049427775,8.773323305667924,54.14370617986581,9.575311139340949,14.52385656796912,2.5685431492161217,156.62083333333334,-28.980833333333333,unmatched,60.0,0,,,,,,,,,,,,,
J102818-255446,infall,56.75945271581789,8.528804959879551,36.6064515672495,9.935391400725914,10.073275197205023,2.733997082115334,157.07500000000002,-25.912777777777777,unmatched,60.0,0,,,,,,,,,,,,,
J103004-253630,infall,50.56931668018032,8.645292926501554,47.5560298981804,10.858415944423491,11.659167551309118,2.6621248895018446,157.51666666666668,-25.60833333333333,unmatched,60.0,0,,,,,,,,,,,,,
J103627-255957,infall,48.15223389733372,8.286295183990939,29.590316545532392,8.980541912597305,6.9078184946864996,2.0964950956401056,159.1125,-25.999166666666667,unmatched,60.0,0,,,,,,,,,,,,,
J103805-250537,infall,58.918625616357374,9.09830845970308,78.54772840399173,26.95855986904349,22.43680968679676,7.700592868846182,159.52083333333331,-25.09361111111111,unmatched,60.0,0,,,,,,,,,,,,,
J103841-253530,infall,57.31076944163972,9.146016208190062,86.0828341153168,14.695030300148458,23.918154282489425,4.083020796387428,159.67083333333332,-25.591666666666665,unmatched,60.0,0,,,,,,,,,,,,,
J104139-254049,infall,57.464483335369295,8.96974160975527,68.5235038663344,16.708758134322153,19.090351949284695,4.65498778407326,160.41250000000002,-25.68027777777778,unmatched,60.0,0,,,,,,,,,,,,,
