galaxy,group,phase,ra,dec,cz,distance_mpc,bmaj_arcsec,bmin_arcsec,logD25,hyperleda_resolved,logd25_source,hi_diameter_kpc,optical_diameter_kpc
HCG30a,HCG30,3a,69.07744,-2.83129,4697,62,57.859071187788004,44.760384145799996,1.16,(cached-live),live,17.39104818134057,26.067870271903665
HCG30b,HCG30,3a,69.12619,-2.86656,4625,61,57.859071187788004,44.760384145799996,1.08,(cached-live),live,17.110547404222167,21.332595403232304
HCG30c,HCG30,3a,69.097,-2.79985,4508,59,57.859071187788004,44.760384145799996,0.79,(cached-live),live,16.54954584998538,10.58195409434661
HCG30d,HCG30,3a,69.15276,-2.84302,4666,61,57.859071187788004,44.760384145799996,0.75,(cached-live),live,17.110547404222167,9.978004524953494
HCG37a,HCG37,3a,138.41438,29.99243,6745,97,49.544663144184,47.411019853343994,1.3,(cached-live),live,23.298675111531388,56.297044511280326
HCG37b,HCG37,3a,138.38589,29.99977,6741,97,49.544663144184,47.411019853343994,1.16,(cached-live),live,23.298675111531388,40.7836034899138
HCG37c,HCG37,3a,138.40514,29.99954,7357,108,49.544663144184,47.411019853343994,0.64,(cached-live),live,25.940792907684433,13.713162330458106
HCG37d,HCG37,3a,138.39107,30.01442,6207,89,49.544663144184,47.411019853343994,0.58,(cached-live),live,21.377134896147357,9.842464752553509
HCG37e,HCG37,3a,138.3918,30.03975,6363,91,49.544663144184,47.411019853343994,0.56,(cached-live),live,21.857519949993367,9.610705156008965
HCG62a,HCG62,3a,193.27438,-9.20458,4355,62,24.8392667030292,14.8901275932084,1.43,(cached-live),live,7.466087428529704,48.5406459135082
HCG62b,HCG62,3a,193.26862,-9.19889,3651,53,24.8392667030292,14.8901275932084,1.29,(cached-live),live,6.382300543743135,30.06005225041388
HCG62c,HCG62,3a,193.29147,-9.19809,4359,62,24.8392667030292,14.8901275932084,1.19,(cached-live),live,7.466087428529704,27.932226242774274
HCG62d,HCG62,3a,193.27827,-9.25811,4123,59,24.8392667030292,14.8901275932084,0.66,(cached-live),live,7.104825133600848,7.844510943115317
HCG92b,HCG92,3a,338.994,33.96595,5774,73,15.000000000001199,15.000000000001199,1.38,(cached-live),live,5.3085600000004245,50.937393922360414
HCG92c,HCG92,3a,339.01604,33.97535,6764,90,15.000000000001199,15.000000000001199,1.22,(cached-live),live,6.5448000000005235,43.44665756718939
HCG92d,HCG92,3a,338.9871,33.96555,6630,87,15.000000000001199,15.000000000001199,1.17,(cached-live),live,6.326640000000506,37.43114517168203
HCG92e,HCG92,3a,338.96756,33.94459,6599,87,15.000000000001199,15.000000000001199,0.9,(cached-live),live,6.326640000000506,20.10171513174412
HCG97a,HCG97,3c,356.84591,-2.30096,6910,91,63.200907758088,49.539130357284,1.2,(cached-live),live,27.88221807382017,41.95224959590107
HCG97b,HCG97,3c,356.90753,-2.31716,6940,92,63.200907758088,49.539130357284,1.09,(cached-live),live,28.18861607463138,32.92317336495932
HCG97c,HCG97,3c,356.84884,-2.35143,5995,76,63.200907758088,49.539130357284,0.99,(cached-live),live,23.286248061652007,21.603665975203594
HCG97d,HCG97,3c,356.82867,-2.31329,6239,80,63.200907758088,49.539130357284,1.23,(cached-live),live,24.51184006489685,39.51880909024578
HCG97e,HCG97,3c,356.83253,-2.28102,6579,85,63.200907758088,49.539130357284,0.65,(cached-live),live,26.043830068952904,11.044162479214135
HCG7b,HCG7,1,9.82517,0.91273,4238,50,34.999999999999204,28.0000000000008,1.1,(cached-live),live,8.483999999999806,18.309811189134372
HCG10b,HCG10,1,21.41817,34.71284,4862,52,61.56925257564,49.716670472316004,1.35,(cached-live),live,15.52136229730854,33.86235864891146
HCG10c,HCG10,1,21.57849,34.75395,4660,49,61.56925257564,49.716670472316004,1.25,(cached-live),live,14.625899087848433,25.34602982481397
HCG19a,HCG19,1,40.65998,-12.42128,4279,53,41.000000000004,27.0,1.08,(cached-live),live,10.534704000001028,18.534877973300198
HCG23c,HCG23,1,46.82692,-9.61328,5016,67,25.330818021336,20.0260887437052,0.95,(cached-live),live,8.227854986418274,17.36955388325104
HCG25d,HCG25,1,50.16172,-1.0354,6401,83,65.353539858228,56.606269594932,0.61,(cached-live),live,26.29721878231322,9.835398342235806
HCG25f,HCG25,1,50.18977,-1.05425,6279,81,65.353539858228,56.606269594932,0.63,(cached-live),live,25.66355085984784,10.05075948474959
HCG26b,HCG26,1,50.48811,-13.64841,9332,122,25.521581260944,16.824113378380797,0.89,(cached-live),live,15.094892366272894,27.54696087676437
HCG26c,HCG26,1,50.45648,-13.64554,9618,130,25.521581260944,16.824113378380797,0.59,(cached-live),live,16.084721373897345,14.711508730871723
HCG26d,HCG26,1,50.48558,-13.64543,9133,118,25.521581260944,16.824113378380797,0.82,(cached-live),live,14.599977862460667,22.67753619846104
HCG26f,HCG26,1,50.48992,-13.66392,9626,131,25.521581260944,16.824113378380797,0.34,(cached-live),live,16.208449999850405,8.33652692538524
HCG26g,HCG26,1,50.48012,-13.64874,9293,121,25.521581260944,16.824113378380797,0.37,(cached-live),live,14.971163740319836,8.250860261383133
HCG40a,HCG40,2,144.72309,-4.84903,6628,99,58.788055209599996,44.8233246864,1.12,(cached-live),live,28.215444673957936,37.96199749101749
HCG40b,HCG40,2,144.72942,-4.86608,6842,102,58.788055209599996,44.8233246864,0.95,(cached-live),live,29.07045814892636,26.443201434203075
HCG40e,HCG40,2,144.73111,-4.85775,6625,99,58.788055209599996,44.8233246864,0.83,(cached-live),live,28.215444673957936,19.46924257231995
HCG71b,HCG71,2,212.76055,25.51965,9335,133,25.9999999999992,20.0000000000016,0.8,(cached-live),live,16.764383999999485,24.409872024199014
HCG79a,HCG79,2,239.79777,20.75416,4292,58,20.7860660552988,17.4333629608164,1.25,(cached-live),live,5.844709197693138,30.001423057943068
HCG79b,HCG79,2,239.80276,20.76312,4446,60,20.7860660552988,17.4333629608164,1.36,(cached-live),live,6.046250894165315,39.9820549702254
HCG79c,HCG79,2,239.79586,20.76154,4146,56,20.7860660552988,17.4333629608164,1.21,(cached-live),live,5.643167501220961,26.418118782706863
HCG91d,HCG91,2,332.28567,-27.80086,7195,92,51.333371247384,47.019058163568005,0.71,(cached-live),live,22.89550491027322,13.724662982537556
HCG96b,HCG96,2,352.02523,8.76841,8616,115,26.9126243565012,18.311280525158402,0.88,(cached-live),live,15.004326331236548,25.37533017781623
HCG96c,HCG96,2,351.99507,8.7828,8753,117,26.9126243565012,18.311280525158402,0.54,(cached-live),live,15.265271136997184,11.800481361976992
HCG96d,HCG96,2,352.00084,8.76733,8975,120,26.9126243565012,18.311280525158402,0.37,(cached-live),live,15.656688345638138,8.182671333603107
HCG15a,HCG15,3c,31.97094,2.16759,6967,95,60.70862741234399,47.452002407424004,1.11,(cached-live),live,27.95996544102915,35.598972811667394
HCG15b,HCG15,3c,31.89217,2.11521,7117,97,60.70862741234399,47.452002407424004,0.98,(cached-live),live,28.54859629241924,26.945459611925777
HCG15c,HCG15,3c,31.91572,2.14973,7222,98,60.70862741234399,47.452002407424004,0.93,(cached-live),live,28.842911718114284,24.262745190126115
HCG15d,HCG15,3c,31.90634,2.18078,6244,84,60.70862741234399,47.452002407424004,0.96,(cached-live),live,24.72249575838367,22.28399988795515
HCG15e,HCG15,3c,31.85567,2.11613,7197,97,60.70862741234399,47.452002407424004,0.85,(cached-live),live,28.54859629241924,19.97494516688083
NGC1188,HCG22,3c,45.93135,-15.48522,2628,37,50.907402038592,36.787677764904,1.08,(cached-live),live,9.131566148074477,12.939443113435987
HCG22a,HCG22,3c,45.91056,-15.61369,2705,38,50.907402038592,36.787677764904,1.41,(cached-live),live,9.378365233157572,28.411715561088666
HCG22b,HCG22,3c,45.8593,-15.66187,2625,37,50.907402038592,36.787677764904,0.88,(cached-live),live,9.131566148074477,8.164236665906092
HCG33a,HCG33,3c,77.69998,18.01867,7570,104,17.511110305786797,15.4455080032332,0.96,(cached-live),live,8.828961727295257,27.58971414699209
HCG33b,HCG33,3c,77.69854,18.02957,8006,110,17.511110305786797,15.4455080032332,1.01,(cached-live),live,9.338324903869983,32.74210121540883
HCG33d,HCG33,3c,77.72327,18.03292,7767,106,17.511110305786797,15.4455080032332,0.76,(cached-live),live,8.998749452820165,17.742700711099012
HCG56b,HCG56,3c,173.16862,52.95052,7919,113,23.5430480257956,19.5795418219488,0.88,(cached-live),live,12.897446741683448,24.934020087767255
HCG56c,HCG56,3c,173.15296,52.94758,8110,116,23.5430480257956,19.5795418219488,0.91,(cached-live),live,13.239856832170618,27.426592302850334
HCG56d,HCG56,3c,173.14712,52.94725,8346,120,23.5430480257956,19.5795418219488,0.68,(cached-live),live,13.696403619486848,16.706870550577086
HCG56e,HCG56,3c,173.13647,52.93923,7924,113,23.5430480257956,19.5795418219488,0.64,(cached-live),live,12.897446741683448,14.348030956868204
HCG68a,HCG68,3c,208.36072,40.28294,2162,32,58.32843588248401,54.80448350472,1.38,(cached-live),live,9.04884022906504,22.328720623500455
HCG68b,HCG68,3c,208.3611,40.30247,2635,40,58.32843588248401,54.80448350472,1.48,(cached-live),live,11.3110502863313,35.13774225722154
HCG68d,HCG68,3c,208.44021,40.33812,2408,35,58.32843588248401,54.80448350472,1.06,(cached-live),live,9.897169000539886,11.689122389735466
HCG68e,HCG68,3c,208.49892,40.27334,2401,35,58.32843588248401,54.80448350472,1.05,(cached-live),live,9.897169000539886,11.423045479557432
HCG90b,HCG90,3c,330.53631,-31.99068,2525,31,49.149532318176,39.90588464448,1.06,(cached-live),live,7.386584913034035,10.353222688051414
HCG90c,HCG90,3c,330.51423,-31.97451,2696,35,49.149532318176,39.90588464448,1.27,(cached-live),live,8.339692643748103,18.957536720937323
HCG90d,HCG90,3c,330.52602,-31.99423,2778,36,49.149532318176,39.90588464448,1.4,(cached-live),live,8.577969576426622,26.303670907110234
HCG93a,HCG93,3c,348.81679,18.96147,5140,64,59.669906541552,53.275329057924,1.16,(cached-live),live,18.513901242460424,26.90876931293282
HCG93c,HCG93,3c,348.76515,18.97311,5132,64,59.669906541552,53.275329057924,1.02,(cached-live),live,18.513901242460424,19.493680131650923
HCG93d,HCG93,3c,348.88811,19.0479,5173,64,59.669906541552,53.275329057924,0.84,(cached-live),live,18.513901242460424,12.879346740537613
