# A catalog of galaxies from the primary analysis sample in the paper "New Lessons from the  HI Size-mass Relation of Galaxies"
# Galaxies from the B97 sample are not included for a similar table is available in B97.
# The columns are 
# 1) galaxy name,
# 2) ${\rm D_{HI}}$ (kpc),
# 3) log ${\rm M_{HI}/M_{\odot}$,
# 4) the distance (Mpc),
# 5) the position angle (northern is 90 degree, counter-clock wise),
# 6) the axis ratio,
# 7) the B band magnitude,
# 8) the B band D$_{25}$ (kpc),
# 9) the sample name (Table 1 in the paper),
# 10) the reference paper for {\rm $D_{HI}$} and ${\rm M_{HI}}$r
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
    galaxy       DHI   log MHI       dis        PA       b/a       M_B       D25              sample                               reference
                 kpc      Msun       Mpc       deg                 mag       kpc                                                            
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
    UGC731     15.20      8.87       8.0      -9.2      0.56    -13.08      5.09            WHISP(S)                               this work
   UGC1281      9.76      8.51       5.5     -52.6      0.30    -15.89      7.15            WHISP(S)                               this work
   UGC2023     12.98      8.65      10.1     -29.5      0.90    -15.50      4.99            WHISP(S)                               this work
   UGC2034     18.57      8.93      10.1     -43.3      0.90    -15.25      7.34            WHISP(S)                               this work
   UGC2053     12.94      8.75      11.8     -41.2      0.86    -15.16      7.01            WHISP(S)                               this work
   UGC2455     15.05      9.01       7.8     -78.9      0.79    -18.06      5.22            WHISP(S)                               this work
   UGC3371     21.69      9.09      12.8     -52.2      0.66    -14.14     16.63            WHISP(S)                               this work
   UGC3817      9.65      8.36       8.7     -55.2      0.82    -13.12      4.50            WHISP(S)                               this work
   UGC3966      7.74      8.32       6.0     -10.0      0.83    -13.09      3.25            WHISP(S)                               this work
   UGC4173     27.73      9.33      16.8     -59.2      0.77    -15.54      7.06            WHISP(S)                               this work
   UGC4278     17.75      9.13      10.5     -18.7      0.56    -17.25     11.35            WHISP(S)                               this work
   UGC4325     13.85      8.88      10.1     -44.3      0.72    -17.65     10.28            WHISP(S)                               this work
   UGC4499     18.81      9.08      13.0     -27.0      0.73    -17.21      9.83            WHISP(S)                               this work
   UGC4543     52.59      9.87      30.3     -79.2      0.62    -17.43     19.28            WHISP(S)                               this work
   UGC5272      6.38      8.23       6.1     -48.4      0.77    -14.32      3.51            WHISP(S)                               this work
